,title,desc,date,datetime,link,img,media,site,reporter
0,Love in the Age of Sex Robots | Hidden Brain,,"Apr 13, 2020",,https://news.google.com/read/CBMiU0FVX3lxTFBVN0VESW1JTW9hN3pFYm0zZ09rNWxkQUxRb1BENk12MzBWT09jWWdDd2dfaDc5TjNMeGZuY1U0SXJMRWdsWTNGTnozX1V0d3FRMXlV?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNHRVbEJXYkhGWmNXbDNkMEZ2VFJDb0FSaXNBaWdCTWdZdFZZaXVyUVU=-w200-h112-p-df,NPR,,By Shankar Vedantam
1,"AI sex robots are selling well, but experts call for regulation",,"Jun 13, 2020",,https://news.google.com/read/CBMikgFBVV95cUxOVHhHeXRsMm9RSlQwVlBKbFpYWVVVVXQ0Y0VFTzUwV0ZRWlhsTm9ZTW9oRjB5NXNBckFzZHJBajlwVjRFeHAycGNLT0pKM2JDNTkta3VwNGpmdUJMRlJvVWh3WWxZajZMRzVYVi1OcHlxdzBYRGQ2ZV92bWJKMms3VUpUcGl2Qy01Q0VYNERBbEtwUdIBlwFBVV95cUxNMFFuTmt3bjdPYWJ2dEotTy1yMFVfaHRUR3JsejAwZEVUX1d4Rzg5enItZTU0RWlZV3gxdEJ2SDJ3OFMwMmFTdlN5OVNQcVlpX0JzRXRaM1ZOX1B2d3ZRb2F0eXd1UTI5bUlLMjRTMW4tUTdNMEZxOHdaSnE3Z0R1VWNmR2V6amtibkg2ZDlLQnczdHlrRjVj?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNHlSa1F3YkVOemRuSTJVM0JVVFJEQ0FSaURBaWdCTWdZdGRaQ3VyUVk=-w200-h112-p-df,Business Insider,,By Jeff Elder
2,Inside Europe’s First Sex Doll Brothel,,"Mar 1, 2020",,https://news.google.com/read/CBMiekFVX3lxTE81a0JrcjJWY3haZGZQdXBjSGdvZ0s3ZDJzSlI5RGJwZ1hWVnpmaGNvdnpaVUhMWjhYTnVkbVVkeWowY3k5aldnTkdoOHA0T3BLQmF5MGZ4Z0xVZERMbGVGVXJGUWVTRG5QX2xjVGNNMWUzeGpJaVlCWlJB?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNDJZbFZuTWs1d09VOXdTVzluVFJDb0FSaXJBaWdCTWdZSklvN3ZsQW8=-w200-h112-p-df,VICE,,
3,Two Books Wonder: How Long Until You Fall in Love With a Robot? (Published 2020),,"Sep 11, 2020",,https://news.google.com/read/CBMiwwFBVV95cUxPVnZGM3E2SkJYZDN3RmhTdVlvMm1NazBTNHVjaVVpY3NzUTVLV1FSQUV0emhRQy1NTnRQQi1jUHc0Y1FmcFZlZjRZRHRxOG9wTm1TeGdhUmVocURRSzVaLXZIb2ZFcmNlaUpPWGNmUGFZM3NldWl3Z0VuS3FtV3lLdTdXZ2VQNXZsQTZsWlBmWE9iUDhSSTFfYXFpX0lKWjZUbWEwRFBaQ1NhVzQzZnI3YlFpclNORkl6M0pLQ1VnYU9qMjg?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNVBVVUp4WWpaQ1YzbEdTVFpoVFJEZkFSamlBU2dCTWdhbEpZN3NtUWs=-w200-h112-p-df,The New York Times,,By Amanda Hess
4,“Better a robot than a real child”: The spurious logic used to justify child sex dolls,,"Jan 8, 2020",,https://news.google.com/read/CBMikAFBVV95cUxPaW9qMlRJSVdYTFhXVm83aXZIWHpWQXB3a3VHYVh3MndwazJZOWlaTFhLUUpQV002cHVtMkh1S3l2Rml2VHh6R2xuT3ByUkFBdE5ENGQ3S3BVN3RIVWFWUDUtejAyS0RyWGk3ejNyUHJfNzBxU3JvUGdRU1hpU2NaV0pZcWFrSmVZX0hkZGxDdGs?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNXdaMmhwTkRFeU5tbE1kMUUzVFJDb0FSaXJBaWdCTWdZaFJJaXR0UVk=-w200-h112-p-df,ABC News,,By Caitlin Roper
5,Couple has ‘real feelings’ for $7K sex robot that saved their marriage,,"Apr 14, 2020",,https://news.google.com/read/CBMinwFBVV95cUxOT1FYZXZnWHRQSjVOc29GNjRJcVJLT29LNmZSaGN2STA5SEVSaFN0N2UyT3I4X1FrN2JRaTF2bmNJNnRVRWtZV1lWMFhmQ3cxMmp4Y2VsM2RHYmZyU0c0SzdscUlkdlVIOXZIWlZPdWlGMEFQZmx3UWkxRkJ5eVl2NU8wUUxYWElQVERtZ1NYU1IxTWE2RlpYbTMzc0N5QkU?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iL0NnNWhVbU5pZHpSWWVGbHFVMVZGVFJDM0FSaVRBaWdCTWdtSmdKTG1yZWNscmdF=-w200-h112-p-df,New York Post ,,By Rob Bailey-Millado
6,"Sex Robots & Vegan Meat by Jenny Kleeman review – the future of food, birth and death?",,"Jul 1, 2020",,https://news.google.com/read/CBMixAFBVV95cUxPYjdVVzdGYU9Lai1VLWE2MlhraFljanFXOWprM1VCbVRyeWJsZko2UDZkRWZCcGVFc0haNUxZQjRPaG5qOFQ1cE1iSG80VHdGM19ra3l5Y195MU44cDA1ck1XQ3JEYVJLLWdhUlA5YTJiRnAzS2J1VkJRNV9PNDJkMjE1SmNOWTExV0hoN25hdEFlMDBmaDFSTWlRZTFHekQyUDBmQ05HbFBITzZJV2g2R0ExODhZOF9Pcmk0WHZ5ai1jek4y0gHEAUFVX3lxTE1rWnB5WUpEem96c2Z1ZXJzeWNwUTVlQkN2X29TZlVpS19JdnlqVUJEdF9IVnpfaGw1Z2hJNUJ5SEtyaExZZ1IwWXVPRk53TjVad0FsNFVuYU1zbXFpdm4tVGlBa2JKU29uaXNsY1hzZVN5OWdCSGswZ3Znd25jcnBpQ1JXeU5lM0xaNmU3Tl8wY1h4VFNzcFBqZ2R5WVNpMmNKSXd5UW04RnJqQnZ2WEFiODZSQU04cUJYdVBlRVhyWm50SHo?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNHhNVFJzWWtWTU5HNXBPSFkxVFJDakFSaTJBaWdCTWdhdFU0RE5wUWc=-w200-h112-p-df,The Guardian,,By Fiona Sturges
7,Talk To Your Sex Robot About COVID-19,,"Jul 28, 2020",,https://news.google.com/read/CBMilgFBVV95cUxNYmh3VmdWZ2NnaDlOeVNpRnBzT2ZQS2w0SGdzSDB4NHpoUnN3ckJ2a0JtYUV1MjRxZ3pUVUc2X3pKTGt6S0ZvdmF4QThpV0ZUMkJVYU9iLXg2eTl2ZEptOEo3VDBKSGRTYVBoNjBQV2VXMTRCcnd3a2tGNS1vUDlTMEZUZHVNZ3libjBQYVhHNVVnNXJBdlE?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNHhZMUZXVVd4dVIyRmlSSGc0VFJDM0FSaVRBaWdCTWdhUk1KU0huZ2s=-w200-h112-p-df,Forbes,,By Andrea Morris
8,"In 2020, both men and women are more likely to consider having sex with a robot",,"Mar 19, 2020",,https://news.google.com/read/CBMioAFBVV95cUxOT3N1d3k0U3hLMGFfcWxiaDVBXy1FRDZ0MFNpdWotVDdjQThlcDFJWXhhUWtpYjVTZ1A4dE1JMVdKTmtzX2wteFdVOWFkbm1QeW1HSEJuTktVMk1iTHdXQmFhVy1OS0pxNV9rSlhKcDBObkVQUDVIZFQ1SHZGa25HSHlkelQzQ3R3NFdEXzQ0NEdnSGpSdG0xSkVUbUxwajky?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNDNZbEJhZWxOZlJrNXZjM05OVFJDQ0FSaUVBeWdCTWdZZGRZYnNRUVU=-w200-h112-p-df,YouGov US,,By Hoang Nguyen
9,This is what a sex robot looks like under its fake flesh,,"Mar 9, 2020",,https://news.google.com/read/CBMigwFBVV95cUxPdWlUTkx3UlA5Y084cU4xbzJiZnZDMHdoZ0RGVFJmb18zTzBDWnNMXzVmLVp4S0YtVVNqd0ViNVNlUEJqNWpvNGZMSnlyMGtDLUc2NGZvcnFiZFZjeHBVdGMyVWQzRnVpejZxRjdDZ2g3bUlFNktSbFdNbE4tMVI5Z3JSNA?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNWhZMlIyYUhGSFpWODNUbHBpVFJDVEFoaTNBU2dCTWdhSmNJenZPQVk=-w200-h112-p-df,WIRED,,By Will Bedingfield
