,title,desc,date,datetime,link,img,media,site,reporter
0,Jess Fink has created the best book about Victorian robot sex that we've ever read,,"Jun 17, 2011",,https://news.google.com/read/CBMimgFBVV95cUxNMENjN3RtTlNmOUFRODdVYTdVOVNmMEtpZUY5blFKNWlKaVVfal85ZDk0aGR1M0hDNnVWTWtjYkxsY09jU0g5djBDTzBkb0tJckRBN3FkUWg3X3hVMlM4LUhiTGxDc0lWcU5VZmNjdzBwR1R3RlZiMmtkUzZWMnI5NGEzd2dBZXB2Nm90aWdOTVR5MnZMbzhuWUhn?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNUVaV2RsUTNCTGNEVkZNV3RDVFJDWkFSakpBaWdCTWdZQkVJYUhIQVU=-w200-h112-p-df,alloveralbany,,
1,"On Supernatural, the incoherent story of a ghost, a sex doll, and a daddy",,"Feb 19, 2011",,https://news.google.com/read/CBMiiAFBVV95cUxPSFgwdVpoYnBjVlVzbWgyci1MS3BJajJhRWo3ank2eEt0Wk1vNHpEb0lzbjlVTXJBS3IzODgxOXhoa0o5RU05d2xHVHpaT2E5YTFTc2NlMVVON2Y5a0RwUFI0OVpLamxuU0ZsV201ckdtZmR5X3ZMS1VsWXNOMDNmOUdieG83RHJh?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iL0NnNUhUbEptUW01MlRFNTZTVXRMVFJEQ0FSaURBaWdCTWdrQmNwSm5LaWc5cmdF=-w200-h112-p-df,Gizmodo,,By Annalee Newitz
2,"Japanese dental school unveils new life-like practice robot with ""love doll"" skin and mouth",,"Jun 30, 2011",,https://news.google.com/read/CBMisgFBVV95cUxQYnZtblNIc1h6OHIwaVI3X3ZNMGRqOXE2RHRjTndKVGd1aWg4Rk9lb0J0OTkyRFBEbUFuVW84ZXpWMC1qSUNpLV9DRnl6ak5iSERTbWU0VFlxUlBUdEhfczU0Nk1mRmt4MDZZSG16RjNySVh0LU9qNUl3Q1dqMHNTV3FibXp3T1VKWlhEd1d2M1pCZGRHbmpxRVd4eG9GZU9qTmdDaXUzVUtfbkYyRDZscGVR?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iL0NnNVdaM3BpV204elNHSnlhSFpHVFJDb0FSaXNBaWdCTWdtVk1vcUtvV1ZOVHdF=-w200-h112-p-df,Mass Device,,
3,REVIEW: Bomb Queen Vs. Hack/Slash,,"Mar 15, 2011",,https://news.google.com/read/CBMickFVX3lxTE12Q0FXTXI1ZkRiLXF0RzJCVFVsaU5PTXRXM1VaNUtoUmk4aHZ1UzRIdTdnazdHSndsUEdmM2V1elRuckYwRjNUSXBNOEE0Qm5QSVVGQUdFN3RCam9wTlpHNWE5MTJOcllUcGJCUy1tcWdQZw?hl=en-US&gl=US&ceid=US%3Aen,,Big Shiny Robot!,,By Thomas Winkley
4,"My Sex Robot, Friday March 18",,"Mar 18, 2011",,https://news.google.com/read/CBMinwFBVV95cUxNYkFrS3pMUXl6RzJvdU1pOXViVlFHNVJ3bTZRNHZNelN5cExCYmxxVEhLTXFQcHY5YktuZDlhbmtFTmh4a0taNXlmMWczenp2UVU5cmdWYWxFYU4zOTFzUV9GbjRkSkVQdGVQZ3QtRUp5cEhhcHo2ZXYzNWNycnB6TGQwOFc1dUFQb2pqRFhDQmZyeFJkSFlNSE8yVDl3c2s?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNHliak5XYWxoTWVYQm5hbUZEVFJDb0FSaXJBaWdCTWdhQkpackZtUW8=-w200-h112-p-df,Sydney Morning Herald,,By Tim Elliott
5,Would You Marry a Robot?,,"Jan 20, 2011",,https://news.google.com/read/CBMidkFVX3lxTFB1aWEtTk9jWlk4a25fVnotZmFlWS1MZ2pZRGktQXhEWW0tME9VbGNvbmE4R1dfeFpEeElrWXJuWTNwd3VGaXN2OXVRbmV6ZE5DMnZEVEpwb3hXNk9icEg0c3dvc2lCNHNGSVJQS25vRnhQS3ZKR2c?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNXpaVVF6TmxkUFdFbFNSVVpxVFJDb0FSaXNBaWdCTWdZaEZZN3JFUW8=-w200-h112-p-df,Marie Claire,,By Maura Kelly
6,Sex doll manufacturer creates life-like training robot for dentistry school,,"Jul 2, 2011",,https://news.google.com/read/CBMitgFBVV95cUxQQmpLR3ZGOURLQUF2cmpLY2tZclFPeUpPOUV2NEhqQmJLaHQ0S25HYkh6aFRmRktTclVNRHZ2bkdKZW5idkY0M20ycERyeUV4TXZXUF9ZZmJmTndxQjdfc284WUtWdnNtb2JsUUVKVjM2RHFGS0ppcXloaDVUZXRtWk14VWZlTEVOd0d0NWk4eHBubHJZM1V6NDVlQmpGWDhuNzFleGVyc1JFaW1oZHJwRFJob2xvQQ?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNUhUekZ1WTFac2IyZHphV3hRVFJDX0FSaUlBaWdCTWdhSkVvcFFwUVk=-w200-h112-p-df,New York Daily News,,
7,Showa Hanako 2: A realistic robot for novice dentists (w/ video),,"Jun 30, 2011",,https://news.google.com/read/CBMiekFVX3lxTE4zQU9BbjJTaUVpZTFCMEVCRno5SUdfZmdmMFZ0c0hpZ2Q2X1oyMzl6bWp6cmpNLWRnRnBMLXE2MDZMV0NzblhKUlFhc1JRX3Z0OTlBRktQUUNJX093QTV4bWRPTk94RElFOXlzZGtQajFCY3FiaW11Vk1n0gF4QVVfeXFMTmVDai1OUW5XbjRJVXc3Tm15NGtjcFpIODdiYXdjRjl2ZUF5WU5ITWc5VkNOb3ZUeHR0SWdxZWdpZ3VjMVp2eWRucWQ2dkpRZHBzV0hVek0zUldkcEJIXzNlTGl5QWx4SXMtLU8yZXRXR3N6dGF5d3pY?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNXNZbVkxUVZkMVVHRkNlSFZLVFJDckFSaW1BaWdCTWdhQlpJNlBOUVk=-w200-h112-p-df,Phys.org,,By Katie Gatto
8,Sex in the Digital Age: Just One Human Required,,"Jun 9, 2011",,https://news.google.com/read/CBMieEFVX3lxTFBjbUdHVVZEN1piQTU1ZW40REZ2cXBhcWEyLVlCY3k0TV8wY05UbnotVWRtc2tWUHNUTzhmTEg5dDR5dTRDYllKQ1kzYUhfUGZwa1lYbzBHQnp6WTdiOHNWMVFIOEduOHdMa2RYZmJjcm95eVNjbWhwQw?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iL0NnNHpaRFk0Wmt0T2NtWnVaVGwyVFJDekFSaVpBaWdCTWdrZEFvNHF1cVUxWUFN=-w200-h112-p-df,Livescience.com,,By Jeremy Hsu
9,Meet the Future: 10 Robots on the Rise,,"Feb 16, 2011",,https://news.google.com/read/CBMihAFBVV95cUxPejNwWFQzNVc3YzFDSm15NGlMSDFlQ0t1aHRTejM4MUNQcWtuSm5yZ0VEaFFtRnN6SFVINHFRb19zbWRuYVlyNS11bXIycG9fdF9GZHQ4Yl81dzVkbFkxM1ZSSUlzRkMtTW9vVmcyMHA1bTNvYWl2TElKeVV2RGtVSVhKVGTSAYoBQVVfeXFMUGhqZlExMUNfaFBoQ0VGQ1ZIT3M3VnNjak1pUWJ5QmF1RmdlUTI3dmw2QTlmWEtLcThySnpOLWI0X1dta2t6S2I3cnRCUm1oblYyMW9DWkVxUGM5X3hsOS1HY2xWZWVrbnVJNHgxTHRpaGU0dXFHUXh5RmhGcmdlbEdHekdsX1h2WVVn?hl=en-US&gl=US&ceid=US%3Aen,,ABC News,,
