title,date,year,link,media,reporter
Google executive warns robots may soon replace humans for sex,"Jul 23, 2023",2023,https://news.google.com/read/CBMiqwFBVV95cUxPbTNJSlp2ZVJtR3ptYnB0NEtZVmc0R2JlRDZxRExKV0xKNlk0X01HaF9seFVwVzFZcXlQWGg1clZMOXVVYkpfZ25wZjh6TnlfM2dyVGRUakdmSDB0OElGN3hpb2J6VE95elRZZlV0ZzdLeEU2M2wxdXN6alBZRVdENHlDS3BzLVh6Z2lCT241Z1p1U3hJOW5nbHVvVnh2M3JhcG1kTVJFXzRFdkE?hl=en-US&gl=US&ceid=US%3Aen,Interesting Engineering,By Loukia Papadopoulos
"Robots, Virtual Intimacy and Sex in Space. Is This the Future of Sex?","Jan 15, 2023",2023,https://news.google.com/read/CBMimAFBVV95cUxOdjN0YzlkNU1odjdUOXk1YThuSWFmU2M2eDJKSVJ2LXUxMlJBaWxyQjlsQjRhR3FWV2s3bXloc1hvc2hxWU56NklibS1QNW1ZdnVPQ0dZSDQ3d0pSVHRfUjNKZUNSVlo0OXFQUzNIWlVnb1NHR3pudlNmWUsweUhyWVd2YVM5RlpROXM5OTRTR0s2eUUxakhoNA?hl=en-US&gl=US&ceid=US%3Aen,The Swaddle,By Ananya Singh
"San Franciscans Are Having Sex in Robotaxis, and Nobody Is Talking About It","Aug 11, 2023",2023,https://news.google.com/read/CBMigAFBVV95cUxNVjhMSWM0dmJZb0R4enZxcnljMWY3d3JLekU0YjQ5LXU1YWgwUXBmRzloSnZmQllHQmZncUJqeC1jNC1fY181eU1nUV8xTGdyRDdGeEYyRzFMb1hQb1BjRmNka2FoU2huVVdRQW1oNnVLMHowRHBpbGpqNHU1N1AxWg?hl=en-US&gl=US&ceid=US%3Aen,The San Francisco Standard,By Liz Lindqwister
Japanese Robot Owners Warned Not To Have Sex With Pepper The Droid,"Dec 12, 2023",2023,https://news.google.com/read/CBMitwFBVV95cUxOYUJ2eVRkQ25QTEQzUEpVT1hUd1RlYjV6NjRxc2E5cHVTVldvbVlGRjhZZjgzY1FmZWJLY2kxZ05IYnBjbEtlOHkwcF9zVjByUzlBa0tSakhaVEpwZ1B4WDJnQXZnSG5fX2Q2TmRrNTJwbVhMZ1FaY2VkaXU4dU1XUG4tVFB1dUw2ejRjR2JLcjFHOUhTaDZ2QTFQcFgzeVNVUno3M3ltaWlWYTRJT083OEdYVGV0Wkk?hl=en-US&gl=US&ceid=US%3Aen,i24NEWS,
Would You Get It On With A Robot? The Ethics of Sex Dolls,"Jun 28, 2023",2023,https://news.google.com/read/CBMimgFBVV95cUxQcVBMdVNFV0NUVFpsUUJjZEFxTlFQaloxNExDX1BTS3ZERTNNczk5N1pma1pNRWtOVkpCN0RlMmpHTGhJOWtlcUMyaVFIX1pMLXFudmFic3hrU1gzNll2ek5jalp6V2dvYTdHTjhxaDVJTklSV19XLTRVbXY5bGd6Z2xjNjhrSldpRWc2RndsdGRUTGRaZDE3SmJ3?hl=en-US&gl=US&ceid=US%3Aen,Trillmag,
Will Sex Robots Alter Our Perception of Sexuality and Human Relationships?,"Oct 9, 2023",2023,https://news.google.com/read/CBMioAFBVV95cUxNVVRXa2lVa09pZGVBLVFTUWlQeFhfOWRCdTBVcmVBNGdHNzJ1T2NwZ05jSjc5d05ENGZhaXMxdFBwWTZrcHFwRGhfVkRTQmxvU1VqWjhVM0lISkp6QnVxckZ5azRvNFFFV1Jrc09IVGdhQXJXdlJwRzExTE1lYnNEeGFjdUZuTU1hU3pveXFtU3VsS05WcEV5UEZHYm5xeUFZ?hl=en-US&gl=US&ceid=US%3Aen,Holistic News,
"Tracey Follows, futurologist: ‘Who will control the AI applied to sex? Because it will not be the user’","Oct 16, 2023",2023,https://news.google.com/read/CBMi6gFBVV95cUxQTnNPQnhqYmtVNmI2cWRhTHlST2Nvc2tYeHhrTi1HejZ5WExjaTlVY1Y0RHdjQzVIcUxwUkIzT2EyZVd6dUktMlVlcGFrOHZHak94alZ0ZE0tNlZDN0pfR2M1OHVWa0hEQlVpNDhfMTh0NW1oeEFnSFlWVnFiNEVxSEs5c0YyalAxWFFCc2xRWC1DeFdISGRvWFk1b1A5R01hX3U1R2RtTjRQOUdURVBaU25ocVYtR3BiSnBuTmUtTnZqMGdsVTlxQUprajNMeXFnLXEwOHhLX1RtdnZ6UmxYNkRXanNOWUtGTHfSAf4BQVVfeXFMTVJyM2gyU1NPWnlDeUZ0T2R5M3R0OWZhZkoySTNVelhlWHQwd0J3eHRlejBLZFFqMmlCWi11cm0tSlNlSkhsRWtmeXNrd19sb3pVUUl6by1IWXFrSzhONTdTVWVOLUtGYi1UYTBDQnRyaUluclQ5dUk0NTB0ZGp0cmtUNl9jaHBNdWd3bVI0QVFCQ29hYUxLcVhnbDVhWi05aTlKX3ZzUmFhajNMY2hUZWE5cW5odWRGTjRFWW1BVEYxMXpnTngwdVFjS0hiLWhfU205dGdsNG5LNGstal9BaWlrcFBDcmRVSklmZ19raGgtMTNhaWNrUmJ4TUdUVnc?hl=en-US&gl=US&ceid=US%3Aen,EL PAÍS USA,By Rita Abundancia
Ex-Google Exec Predicts AI Sex Robots Could Replace Human Intimacy,"Jul 18, 2023",2023,https://news.google.com/read/CBMiigFBVV95cUxPVjdlcFJvY3EwWXcxcmczNzdZaHI1ZUxmVlBsZmNVZl9tSmFUaWhkOFRnM3lwZXhfSl9vNkRCS1F3eWRSNzFPYmRLMDNsNXZTNE9nX0ZzTDZ3TEduQ0JrQWhESjgwLVlRSkt3MVZudjFEOXNaOElLQms0WGh6MFJiRGZVZVZvS1VZY2fSAZIBQVVfeXFMT0FaeUxxdXc4LXMzZFdpd2VmVU9QaWFCa2gzbnBJQTFmcWI4eHk2QXlWQlJJWHJual9uNmtaUEpEMzhCOXpveThscHYwMlNwUUxPbFliS05CT2tsUDBGNExLQ19HNEx6RXM5SkFGN0pNQUZ6aXBqTy1IVDZBaGZOTjRxMEVJRW9oMDR6ZFRYMlVxcGc?hl=en-US&gl=US&ceid=US%3Aen,Decrypt,By Jose Antonio Lanz
‘Like a naughty Siri’: friendly sex robot Vanessa 5000 asks audiences to test her powers,"Aug 8, 2023",2023,https://news.google.com/read/CBMipAFBVV95cUxOTk94b0JKYTNlZ1JCQjFQRDNMSHRpVS1XOXZBaVlOTlJnWEVBTm5VOXNDQ3dvaXQzT3VlV2JwY2Rnd2dzR0RQejFkaHR3ZzJGX3NQUG4xeWpQemw4ZmpJX1MxYVg3Yjhrb0hCcVlGUXVFQVFmUW9Fak1sYWVTdDM5a0JJbXlObmh0NFBXeWlsVnlDZzhYeUVRUWhZcTIzbC1OT2Jxd9IBpAFBVV95cUxQRG9nOTdfUDhyUnY2dXNNYXRUMm9PbGluWVVqMkFnQWZLNHRKc3QxdGcyUURfSldZQU5yNWgxMmdQdUgyNEJNMGtMNWFyUTRqUVdJWFV6RXk2cnozZ2xIT2dUZ3RPdzhDMjhiOV94bnJQZjJmemFoUzhvUHo5Tkl0dWJVUWt5THhkMzdLeGZLNFhzblgzcE1lUXdVZzNDMWt0cFJ4Vg?hl=en-US&gl=US&ceid=US%3Aen,The Guardian,By Kate Wyver
Futurologists predict AI sexbots will replace human relationships,"Oct 18, 2023",2023,https://news.google.com/read/CBMikAFBVV95cUxOYWJYazg5a283eDRzTnNva1FpRXVvX3owZ3dTclFJTG11V2x2aFZfS2FNaHh6YnlubFgwbDZ2RDlzNlVobC1ySTVCaFJxT0x2ME5GMHhXcHJiZGZqWUpfUDFrZFhfZHdMN002WFBCbW5fUnM1eVBReFNldkFVVWhDcEFUZFRlZ1phUnV6TGVhRmI?hl=en-US&gl=US&ceid=US%3Aen,Interesting Engineering,By Sejal Sharma
