,title,desc,date,datetime,link,img,media,site,reporter
0,Sex Robots Will Destroy Us,,"Jan 11, 2021",,https://news.google.com/read/CBMibkFVX3lxTE1adUdVcnNtWEhzcTUyYmx3WHptX2F0NHRZZmpVZGZtc3FmQ1hFcW5xb3pHQVNRZFFMckxicExHeWk0VHVJN3RUc05kcEZ1U1JFWl9ZcVgzYlgteVpQNjVQZkJQbHptWE1DOHJvWG1R?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNU5iRFp5WDFoWVpFVkpjams1VFJDQkFSaUZBeWdCTWdhZEpZTHFvUWc=-w200-h112-p-df,Catholic Answers,,By Todd Aglialoro
1,"Sex robots ‘could kill’ if hacked, experts warn",,"Feb 8, 2021",,https://news.google.com/read/CBMiZ0FVX3lxTE4wa3FreUxDYl90RXNUUlFCN1pRNU5jMGpNZXhhd2w4SW5EVUNFblRaMlY2Z1hkWWVWaXljYnRrcEJrNHFUR25ueUh6dTJUOUFZelBJOU9LN0JkS3hwRDBHSnNfRFpvWnc?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNHhRVEJNWlVaaFpHOVpaM0JaVFJDb0FSaXNBaWdCTWdZQkdwTGptZ2s=-w200-h112-p-df,The Week,,By Chas Newkey-Burden
2,Sex Tech and the Rise of AI Robotics in the Bedroom: 9 Investment Ideas,,"Jul 19, 2021",,https://news.google.com/read/CBMipAFBVV95cUxPV1pyU1lBdWZEenpSUEdDQ292U2ZTRjVWeXpXLXJtSDNPeW90QjU3bnN6dFQzYjdwZ2FmbmVZN2JCdzdheS1UZE02TF8tbEE4ZmIteEJSRVA2WWxOelJoSmFrMVpROFdxSTYxS1RDRDFYRzZUS3RnWERsMVowNURSMnBiSkF2ZW11VTUxNXhxaUVOSGc0RTJqTWg3UEUyTFpsaWpjcg?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNDBWVzFXUmt4eVl6VTRNRzlVVFJDM0FSaVRBaWdCTWdZaEZaak1sUWs=-w200-h112-p-df,Financial News Now,,By Mf Williams
3,"Coming Soon: Henry, The Self-Lubricating Gay Male Sex Robot",,"Jun 17, 2021",,https://news.google.com/read/CBMimAFBVV95cUxOeFJRS3U5cm1XQ3prT1k4cDNSOXhZWkJlYlVFZjlURUwwSUM1WWt2Yjc4YWVhc1Y4ak9hY2N2bTBQSGo0bXBaZU5yNWdZcS1VeXpRdzEzNzZQUFZxeUZ1cGtuLXhPQjdjVVR5QzdqSG91WnNfMlROdzY1S3V5WmpTRUdnS3c2VWNHSjQzb01ubDBaS2htTGd3Nw?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNWpaemxSVVZSUmRYRTBWemcxVFJDYkFSakVBaWdCTWdZcFZZTE9MUVU=-w200-h112-p-df,Star Observer,,By Linc Jenkin
4,"We can be attracted to them, but they can't be attracted to us.",,"Dec 21, 2021",,https://news.google.com/read/CBMiqgFBVV95cUxOa2NpdEtuVFNvVkhYR1R4Q2x5cm9ZLWdrMnp5LUJWREhsOTl4a2FMVHZIaW9yU2NGM1l3YWJoLTIzOFF3V2NhTk1zOXhFeU4xWWxfRVhHb05lRkhvYzI4QnhkZjBlU1BCTmZjSGdrNHZFNVF0dWNweFhRV20weTEzeEVNcUxsTk54QUVrSmhBVmo4ckx5eV9ld3ZDa3RObmMweGxkdkpCRzR2UdIBrwFBVV95cUxPajVSLTVNRjNJcGZ0MVJGVUpJZGtlODN2azlaZVNtOEJTWEwtTW9XbFlURTBoa2dNSWZEZ3laNDN2eXp3NE9uMzRjcjhGeDJkUlJjSU81U3BvTTJFYjlTMTl6ZGhtTVhwQ1RKRXptVFQzaXFINGgyaDcwbzJYZzlud29PaVRMNUtQOWVoM1ExWlgxX2NxcHZtb0s3ckVKMmFtbHFPem5wNjk2bUVJbUtR?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNDNaMWx2WDFjdGFFRjNUM0pYVFJDb0FSaXNBaWdCTWdZRkpZWUlHZ1k=-w200-h112-p-df,Psychology Today,,
5,What’s so wrong about sexbots?,,"Dec 4, 2021",,https://news.google.com/read/CBMiU0FVX3lxTE9ZTWk0SFB3V1RtTi13Qm9kc0plVEFvVVFKME9FYmlsUnJNQzFxV2hwblBvSzFYOUFRUkZTNjJZeXdFeTdGeUg0QUFxMDNFcy1rSGhr0gFbQVVfeXFMUFF4NVRYc3JHM1RmUmdUaS1KU0Mxa3p0UVdzWEFMZjdXS0ZpRGhtdi1MYTZ4eVNIVHQ2M1BkUjhidG1ieENJdG9aenJnbFZRSk5yanhGUGwtdDAySQ?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iJ0NnNVVYMk5RYXprMWNEVlJlRFpCVFJDSkFSanZBaWdCTWdNNUV4QQ=-w200-h112-p-df,Freethink,,By Alex Pearlman
6,“Made for Love” Review: Have you named your sex doll yet?,,"May 11, 2021",,https://news.google.com/read/CBMikwFBVV95cUxPXzkwZ0ZERzVhUHNlaERjN0pGdFNZS0RfRUIwOFdMVnlkZkVFcS1KRmxSNjRqOWpScGh0ZmdQRmd6U0RnQVptRVBNdlNaN1pXUFVCVHBxa1A1UEJRaXJTeUVpTjNsMERzTkFKMlZLT0UwYW4tbkdvTlpmX2djWHA1Uk5GMC1lRkNCaFpIdGZhVzlMb1E?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNUJPRnBXYXpSRGJIbEtSV1paVFJDU0FoaTRBU2dCTWdhcEpZek9wUWM=-w200-h112-p-df,Scarlet and Black,,
7,"Sex Robots Get More Intimate with Humans, Thanks to AI (VIDEO)",,"Aug 19, 2021",,https://news.google.com/read/CBMivwFBVV95cUxNb3hnLXU2OGNHWFJlMzFXTS1iSU83Wmd0RDV2SXdDNFNFMC10dmhYSUU3eHo3aDRNUmhIa0JOYVI3RjlUYlZIV0VIZTlMMUhMWVR1VnBkRVFQenZkNTNiOTNhQlJjY3BLUFFEWkU4UnMwcGlocGJfbkJvRmRIdjQ2bS1XVC1WdzFBdkZQT19xQU5nWGNXX0NENDNwSmtZQTZQdkxyNlZWWmFubEZEZHpTZ1ZJX1lJNzhYY0R1aDhzaw?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNVVhM1J4YzBvME9USnlTbWhrVFJDb0FSaXNBaWdCTWdheEpJaVFtUWs=-w200-h112-p-df,Scripps News,,By Jason Bellini
8,‘Futurama’ Already Taught Us In 2001 Not To Date Robots,,"Feb 15, 2021",,https://news.google.com/read/CBMilgFBVV95cUxOM3RWY04zVFBfVFp5TU5qX3piTzlOR1ZnWDd2bDdpbnpXMnE3dkMxWnA5eUk0cEI0aWo4cUI5UGNCbzdzSDhJU1hiVDZRR3ZxdXNBNVNYLVNmSWxvX0xENS1jVUx3WHZBd2xDXzlIZWN0ZXpMUUxxVFZqQmxDdFRPWWI0M2YwWDM4MldSM0hKa3hiLVBWV1E?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNTRkMHRaVGpGclRsZGhSbVZ0VFJDV0FSalFBaWdCTWdZZE00THJtUWM=-w200-h112-p-df,The Federalist,,By Rich Cromwell
9,Rob Watches Star Trek: Data is a Sex Robot? |,,"Feb 8, 2021",,https://news.google.com/read/CBMiiAFBVV95cUxQdGJNbTZXMkozbm9ESm1XV01UcUNxYmt1TVVNV0tjelNjZ2Uyc3Q3Q0ViNHlCZzdGelZFemluYkQxOEt3WHA2bE44ajlzaFdMc25UalRRZVAzVkRrbTJvSUJ1cjd0bGlSNWp1dnphV1YxNTFlX240OERuNWQyMlRlNXppYlh5bG1K?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNVlORmh2YjFnd1ZHUjJTemw0VFJEQ0FSaURBaWdCTWdZOUpJWnhHUW8=-w200-h112-p-df,Primary Ignition,,By Rob Siebert
10,Sex robot with ‘bionic penis’ that can be programmed gay is coming soon,,"Jun 14, 2021",,https://news.google.com/read/CBMiiwFBVV95cUxQbGlROGl2TDFhZDF5N0hhSXEwZFNmZVJnX3pUQ2VHeG9ZWTduaDctTDUybU9ZaGY3cGx0WFhJclhiVnZDX0dOd2NBOGxQeG9uQ0ctSlBPY2RXSUpETXQwbTJuTFlhdHRMV19IN2xQSlFOdnN3Q05DSE5BeXBYaFJVZFhIdmhlN1BETktv?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNXVZVnBSY1ZWSmNWaFdYMVJsVFJDakFSaTJBaWdCTWdZcFJZS3VLUVU=-w200-h112-p-df,PinkNews,,By Lily Wakefield
11,Florence Pugh to Star in Murderous Sex Robot Movie ‘Dolly’ at Apple TV+,,"Feb 10, 2021",,https://news.google.com/read/CBMijAFBVV95cUxQRHpkZmJaNDF4U3ZzbTNlNkVTVlBpekxGbUNmN0hFcnNhY0kxWFBMS0wtWnRYSUhiYV9fOHdURGh6eUdqOVZFcWpNS3pUcmd3OXhhRW1zLXhtYmtDeFhHR3ZCaXQ3eDNVRGFuRlNqdkVVN0lrLVh3V3k1X2Z2Vl8tUzVoVHhlazM1Y3pwMA?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNHlZV1ZPU210dlNqaDNUSE5wVFJDM0FSaVRBaWdCTWdZcEpvcnRtUWs=-w200-h112-p-df,TheWrap,,By Brian Welk
12,Is Having Sex With Robots Actually a Bad Thing?,,"Dec 8, 2021",,https://news.google.com/read/CBMid0FVX3lxTE1sYW8xc3JtMjh1Zmh6NnpVUlZhY1liYy1HQnBrbzZIU2phOEZZdW9MM19CeGctUy1PMEZGT0JxaGdTVzlzWnFzd3F0R1F2WnhSTlRWT1Y1ekdhdTNhTTFEOXJTQ1FTWFVhbVpERTVMOGdpV21welRB0gF8QVVfeXFMTU9nVTI5aEM2QXZhbTZ1MlhRa2RmM3hOTHdSWnEzb2JyWEptUlkwVUEySjdRWEtHYkpGdk1ZLTUwTVBPY29BNUEtLWJpOTlLaHYyN3pUZjRLeEU4TWhZaTB0UDlNTWlVeHgyeHBSMzlxazZqNTI3X0hqQkttLQ?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNWZlR1F5UzBodmRFTkRlalpRVFJDM0FSaVRBaWdCTWdZbFlvb1JzUVU=-w200-h112-p-df,InsideHook,,By Tanner Garrity
13,"Surveillance, Companionship, and Entertainment: The Ancient History of Intelligent Machines",,"Nov 24, 2021",,https://news.google.com/read/CBMihgFBVV95cUxNTzB2b1VsWUx5N2lSVHhMcWR1cXVGdWx3S0JlRnV1bjFDcGQ3RWVwdHlvYTdudEdEZS1tcW01ckpETThBaW5Kb2RaNjYtWHZoYVBYQWFmWGljOHJEanZFQjRIWTh4aFRuN1lpOEIxdmxIcG56SlhaNWtpZ3RoeHhyOXFnOXF3UQ?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNVZhMHhoYkU1Tlgya3lSRkpwVFJDdUFSaWlBaWdCTWdhVkpJak1uUVk=-w200-h112-p-df,The MIT Press Reader,,By Elly Truitt
14,Watch This Sex Doll Rant About How Despicable Humans Are,,"Apr 23, 2021",,https://news.google.com/read/CBMihAFBVV95cUxQeVRXX0RqTU9qblJiTkJSQWJuS0g4aWFtdU1rMWdYWDVjanYyd19EQk1kRTg2YWlWcC14dkFpampCZURlT05ZQTVJdU9vR2lhZXM3TDNDNk0ySkppbUxGUHZuQlQza2w5dWFxS01VNGM0OU8tMUk1ZVJUQzMtWVJ2dVNhck4?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNVJWR1JvVDBkd2FHOVhibkZDVFJDRkFoakJBU2dCTWdhbFZaTHNJUWs=-w200-h112-p-df,VICE,,By Shamani Joshi
15,He Built China’s First Sex Doll Brothel. Then The Police Came Knocking.,,"Mar 18, 2021",,https://news.google.com/read/CBMickFVX3lxTE5na2N4WHIyU2JmVTMzYlk5MGJNRjZlcFRUeVZuNWNmaW5qdE5FaTluVGpRN1Rubk9CR2NpdkhvVmdyeGZ3ZHZnNEt4bjJySGU0ZDVxQmdyb1h1Z2FPTWh2aHd4SzNrUzBNVXBRQ24zT0JFdw?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNWpjSFpmVG0xaVFqWnNORUZOVFJDM0FSaVRBaWdCTWdhSkFZaG9NUVk=-w200-h112-p-df,VICE,,By Viola Zhou
