,title,desc,date,datetime,link,img,media,site,reporter
0,The morality of sex robots,,"Jun 16, 2014",,https://news.google.com/read/CBMiaEFVX3lxTE1BdjQ1YjZKbVlZeWJJTUtsamVReWVJcy1hb2oyZ0ZqeEZ5T1hKSGxSSHdSTWhDTkFGNEFlOWpZVTR5QkM0QlBQVFpQZGliRW5fbUpQRHg0aExTcmNZZFlYX2dPbTJCWEx6?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNXFUVUZtVDNVNFowcDRWbUY2VFJDM0FSaVRBaWdCTWdZQkpJNlBKUWM=-w200-h112-p-df,YouGov US,,
1,I Spent The Night With a Sex Robot... For Science,,"May 1, 2014",,https://news.google.com/read/CBMilwFBVV95cUxQQWRuSWpqRDJGY2xKc01XVWZrY093blVYMVZ1eWFqZzBUb1lIT1dzSXJsYmtFSEpXS1FGc3pEZll3ZFliSEJxWkZVTDRaR2NqemtTeWFQS0hhWXoxblJKUkVianc2cFAxc21paVduaVQ1MVpsSDVpZ0hCOXJ0SlllOTk5Z3FwVGtZU1BBMFdJT1Ntak1lMHNV0gGiAUFVX3lxTE81eFNpYzNiTnpwUUNZTDhpVWpESm1KeXNReTFaWmVlUy1NNzRjRzgtZVY1QkhsZzUtVy05dEdEcDJtSHY2NDNSSXQ0SXhOMG1lRzZLdnRDNkVmUUFjdGx4di0wZzdmU0R3Rk0wUWZKQUt3ay1wdkY1YjNnWmd1endIV0tUczhyOHB2RHpuejBuRnFsZ3g1MzluM0pBdlN4aUpnUQ?hl=en-US&gl=US&ceid=US%3Aen,,Thrillist,,By Jeremy Glass
2,Will Sex Robots Replace Prostitutes?,,"Apr 21, 2014",,https://news.google.com/read/CBMif0FVX3lxTE5KZ0pFOWhuQzR2cXF4SVJZNl8xeWpySFZiWFh4Y2U4VW9uTnQwLU9HOHpuWm5UdXhpSks2cjY4Z0NjYmQzaGlUQW5KTElPc25fbHdVQ25jbXhyRHhxZFk2OWg3cWp5NzJ5aTRhRUg2TDVxWFY2Y2l0LVRpNjdXRlXSAYQBQVVfeXFMT0pXWHhuT3QydndRUDJGSWhQMWZEUDNEdXYxWTU1cFZsRTVNM1ZZOER2dm9QSHhrQW5CNGJFX3BKd2lmazZFbTJjQ01aVmNrOUFMN0dzTjFhaXBRZ1ZMcVdOYkxBOWVFdG0xeXV5TGlwSDZOZ1BhcUVlQTdKQzZBRGhUalNZ?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNHhla2hyT0djNE5HVlNVa1UzVFJEQ0FSaURBaWdCTWdhdGNvSnZ0UVE=-w200-h112-p-df,Business Insider,,By Dylan Love
3,Could a child sex robot treat paedophilia?,,"Jul 18, 2014",,https://news.google.com/read/CBMiYkFVX3lxTE1oZkVQRXU3QlUtY29OaXRFb2kya0h6VzczRlFBZGdOWEZ1eFBwWGJfazdhNzJNS3ZWYzBMTTc4YXdkWV9NeVg4clQ5Y0FUZndrSkt6YzgyRm9ZUTN4bHJET1JB0gFnQVVfeXFMUFZSWWZLV3M0TkgzSUx3OXZvQUdTNWZZTzRTVm1GeDhxbVVIcFZwNUdHcTBselZsdHM0dzhTMjVJVTZzRzRicVpmNjExRzQ1aHo3VzVsaDhPMllwam83UDRFSG9qeTllYw?hl=en-US&gl=US&ceid=US%3Aen,,BBC.com,,
4,Are Child Sex-Robots Inevitable?,,"Jul 14, 2014",,https://news.google.com/read/CBMijAFBVV95cUxNVG1YWVZyR3ZNdjFJTEFFbW5mUHlxRUJsbnk4MUNsTDVsYnBteG42LVhXeVZpX0J4bWxrYkI3MUlRcU5zWGxnTGhHcmtBSndSNEtvUnJwOFVQMVkxV0d6a2NkckFKUzFtQTFtTjlHUDUwMl9FVmdteDg2OG5RcFBTbFpYbWIzVWdGeVJhdw?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iL0NnNTRhVGRJZFdwT1IzVjZWMGsxVFJDb0FSaXNBaWdCTWdrQlFKQVZuYW1CU3dJ=-w200-h112-p-df,Forbes,,By Kashmir Hill
5,'I Believe That It Will Become Perfectly Normal for People to Have Sex With Robots',,"Oct 23, 2014",,https://news.google.com/read/CBMiakFVX3lxTE52WTFaUGRQQnZKVlFJUmYwQncwQ3JxOUp5R1FLZHZYSlpLSlM2RmhOMVV6ZGRPUE50RXM3RmpiQjBBdjhWSnRoclpJekltWlFRUHRnTkxlTGJhdldNWnJ4ZzRMN3hIOU9OLXc?hl=en-US&gl=US&ceid=US%3Aen,,Newsweek,,
6,Poll Finds 1 in 5 People Would Have Sex With a Robot,,"May 7, 2014",,https://news.google.com/read/CBMipAFBVV95cUxNXy01cVljVFQ3Ti0wTUJkQVdLWkRwa1B5OS1iODI1U2lOZkl0Vk1mZE9hYV9fQXRKMUc2NEkyOWZJZ1NXVzBnU1pUc2NiMGt2SUMyM29ZZFppY2VIV2NZYUV0QlFCNGJlWl9Ib0lzUl9xQnpNODJ2WlN4Znk1ZDNxOVJwQ3gzQ1Y3RURGTHlaOUxHY0s1VngzREJncEs3dF9wbmxYZg?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNHpjMFZKU2kxaFpVWjZZMjFVVFJDb0FSaXNBaWdCTWdZWlpvWUtwZ1E=-w200-h112-p-df,The Daily Beast,,By Charlotte Lytton
7,The Robot That Makes Virtual Sex Feel Real,,"Feb 14, 2014",,https://news.google.com/read/CBMigAFBVV95cUxQOGVmMnp0b0dVZ3FfcE1VWkpFTlEtZDZSR1Y5emZWbXF4SVNxUDZnNVJpUkFmV05TMXBXRGk0a3BGbTVhRjM4eHFab2J3Y0RxSFhJcGlhZGZ3Zy12UEpiU0M2azc5czM1OXpZcHpycE4yOWd2cmJVN3NmTVFHdnpTcQ?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iL0NnNUVWVmxJYzNOclNXTnZZWGRsVFJDM0FSaVRBaWdCTWdrUkVKQ0pvZWVoY1FF=-w200-h112-p-df,VICE,,By Brian Merchant
8,Automata movie review & film summary (2014),,"Oct 10, 2014",,https://news.google.com/read/CBMiXEFVX3lxTE9tYzJlU053MHdfaHZYN2VUdDdXVGxKSDQ5SHR2bl9hMS1TSWdLenRfRDR4c1dyZVd4X2NzOFBEZEt1bi13Z3M3bGpnbmlUTXBBSXpobGNQTjJVZE1H?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNDJXVmRvVjIxeVNrTkhRWEprVFJDUkFSamNBaWdCTWdhOU1ZRFZJQWs=-w200-h112-p-df,Roger Ebert,,By Odie Henderson
9,"In 2025, our lovers will be robots",,"Aug 15, 2014",,https://news.google.com/read/CBMicEFVX3lxTE5ERE10TXZXUHlueU5CNWVQNXlYZlBHWXpjOGhlTnJtUVhyTHdjc2NZT2Y3VlN1M00xZDI1Y3VPMmNYd25Ud29idnBoSHJzVjZlUWVaXzBYYjd4NW5kZGtvZUxSbmMyTFRuWk1iSzFiZjM?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNVZNMDlLTjJWb0xVTXRORFJFVFJDb0FSaXNBaWdCTWdhaEZvWUxrZ28=-w200-h112-p-df,CNET,,By Chris Matyszczyk
10,"6 Major Advantages Of Having Sex With Robots (But No, Really)",,"Aug 21, 2014",,https://news.google.com/read/CBMijwFBVV95cUxNVDJNdEh3NVcyaG5YeTg3OGlycUpHYWR1U2FaSFJEOUZRdml4YXJNU0Ywb1V0TVBWR0NhUDU5TU5EM0htX2puT212WXRGX1psXzRsd09WOUZrZjlBeG9mTnFGQmJPNHVvc2p0dHBwYzNkRmpyMkdxU2hDZFU5VW9sRTVaWHNQeTJQYWppZGVldw?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iL0NnNXNjVjlvU1VodE5VaGZjMUY2VFJDZUFSaS1BaWdCTWdrVkpJQ29zU2RrcGdJ=-w200-h112-p-df,YourTango,,By Amanda Chatel
11,The murky world of robot sex and consent,,"Jun 6, 2014",,https://news.google.com/read/CBMiWkFVX3lxTE5XSmkyaGNBZEhlTm9NTFF5MGZrekhUWEtrQXBlNXBNOEJCSF81dlV3VWpxUmFNbFBwb0xpOGpDVmtKLWZHY0hMSVljb1NOOWpBMDVVeVZyM0FPdw?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNWZVM1pETmkxQ01VTnNWRlUwVFJDM0FSaVRBaWdCTWdhVkE0N09tUWc=-w200-h112-p-df,WIRED,,By Olivia Solon
12,Would you have sex with a robot?,,"Jun 2, 2014",,https://news.google.com/read/CBMiakFVX3lxTFA2dFZTdE9nb3d0U2FmVnJCd1ZEckNOaVFiMFhlQjZOVmEzR2VzdmlGREZhekRKcmVKMFctQ2UyQXRWYjJoaVFzZXN6X3NsSVc0cDFZMFI2X1o5NlhMZG1hbTQtTWpJU1lzMHfSAW9BVV95cUxOaGlOZWcyY3E1TWdtdDFhS3h3SHFJVHBxNW9tczRiNHNyNmNHX1hyZTJNNHV1eFNIZ0hsLVVjVjdaZE43cFRjWVhob3JTbkotNlhtbkZFQklqcGlXQ09yZVJQRkxJYXlUUmlxVmpsRnc?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNXpOSGRPV0VVemMyMUlXbkZUVFJDZkFSaS1BaWdCTWdhZFJKQkpKZ2c=-w200-h112-p-df,The Daily Dot,,By Greg Stevens
13,Artist creates CGI image of what droids that can have sex might look like,,"Dec 22, 2014",,https://news.google.com/read/CBMi2wFBVV95cUxOa2wtX3JYenlkZjUwdnplMXBmWGxXbnlHZXNGbjluOXktYkdRMDJxbER3VzFvaDkzVFV2bDUzOEN3M2NCVmx3TjVjRUpOOHMwWm9TZ3RYRndaaFU2aF9sY1NLXzd1WWhMUUx1RDlrQnJrS3RZem1KMGZjcDZRRHZVZXozdjBkQ0FGQ0pscVYxMzR1NnptM192eGhleThrd3RxWnk0dUtxeFJCUE1seTZYT0VuTXNiTzRmOFNhMmhzLTk4ODNuUlg2T2FFRFZ1NkNfa0tfMHVuQ0NmZDTSAeABQVVfeXFMUGg5dUVZQ1pjc3pIX2tCUmVEUGh0amlab0RvOWdhZHk3VjhmLU0taTdFLTBGcEJ1LTY5RVIxdHBEbzFSbHY2TFZQT0JzZFRjaENXOV91YWh1bzNXMXhLTEUzai1JbVV5QmNqeHF5eUNoNmpfaS1BOXEwTHByMlRZNHE1QnJOOEdsbk5pV09FMklNcm5WQnZfLW00XzBaZ3BFYlVfRG9ROEVJZ3dFT3J6M2h6SWdqYjRjdGRzemtoMmFXT1Q2bFJpYno2SlJxX1NZY3NCWXdMQ29Nek1tVXg2Vlo?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNXJWV1pWU2xSS1REQXRVMng2VFJDdUFSaWlBaWdCTWdhQk1JYVhtQWs=-w200-h112-p-df,Daily Mail,,By Jonathan O'Callaghan
14,The human screwfly solution: Column,,"Aug 17, 2014",,https://news.google.com/read/CBMi4gFBVV95cUxNTkFIUHhSeE5zQ1pVMDlybmR5TWVxNGl2NWhRM3JaUV9kaUZSeE9qc1FJOVJvLXoyVGUwMkNGU0FsOTEtdFFRWmNBYkJxSXdLOTVvbWxUY1BaRzI2dmVyRmJTNHd0aVBvalh4d2NrajN2dGhJWFVlZGZ6MUhiQ2dLMnNxQmRxQlFuNzQ0bW5xX1VjTjNqMWNBV3V5OEdUeVE4MzhmalhaUE56UUhyV0hxazVia2FVU2trUW5EQklOQ01QMUpLVXNNWHM4eVJKVnYyN2htejNBZGgwNXI4YmVqaGdR?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNHlSRm93VldkU01tODNaMHR4VFJDcEFSaXJBaWdCTWdhcE5JVHVJUWc=-w200-h112-p-df,USA TODAY,,By Glenn Reynolds
15,Will robot orgasms make actual sex obsolete?,,"Jul 28, 2014",,https://news.google.com/read/CBMigwFBVV95cUxOUVNYM3BfZm1uM2lNR0hmZHpPbVdSdTgxdmVjQklWMG5OQlMtVXRXYWdHUWNEY251OFZuazBlV2hxWnZsOU5Oam5aN0lUbkNsLTVUdmVJQ2Z3clgweGs0bHFKd01uVy11Qi1sSnpqY3VZakktY0NaeHh6TlhqVGpLS0U3OA?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNXFjRmRZUTBsc1kwRkpNbEpVVFJDOUFSaUxBaWdCTWdhOWtvUXpzUVk=-w200-h112-p-df,Salon,,By Jenny Kutner
16,Robots and sex: creepy or cool?,,"Apr 7, 2014",,https://news.google.com/read/CBMilwFBVV95cUxPOVRzUVI0TEs5bjhuaWRwbGpjUi0wTmQycnh6STk4NmhTQkdHY0luQ3RmbUt1eGw0MTNPNUxQU0xCeHk4bmdCb1d0UmtMWE1GV3RwNHVKZ2t4NlRieXUxbEdfa3BOei1nRVBJUmE0RUhlR2J3c1RFV3JRelhaN2ZJSm4yMEdoNHJuSEROOWk3VnVLSXVST3Zv0gGXAUFVX3lxTE1GUVFIdHlEVTA2VGFtQTd5WE9QLWxhWVFjNkxPc21LZmhyc0JyX2RVTW8yRE9ZNzFmUElDb0ljWWZvcXRRYW1iSThNM0ZpbWdlb1lkckUzVWxqVG9Zb2RYRFVQODJYOHdTSWtINlE3NEFZUWZSMk5jeE9LNGo3SlFMaXROckdSMXpDXzl3b3B0ZjVBNEh3ZEE?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNUlNbHBrZUdSWVowUlVRMkpqVFJDakFSaTJBaWdCTWdZMUE0RHdaQUU=-w200-h112-p-df,The Guardian,,By Tauriq Moosa
17,Sex Bots and Robotics: Why a Droid is My Next Girlfriend,,"Jan 15, 2014",,https://news.google.com/read/CBMigAFBVV95cUxPOUNiUnY4TGl2ZEZPUmRxdjZxYXJRaC1zQUlSaTh4SWpORXI3czFLSWFhb3hlbjB5THZTS2VZQzhwcnFoU0RzLWNxakE4TWw0N1lNazR1TzhwekZUaXdmeElDQ0ZjWkRGZjU0WEVPUXR0bE12b2hVYUNlVkhuOTJhdw?hl=en-US&gl=US&ceid=US%3Aen,,http://www.anewdomain.net/,,By David Michaelis
18,"By 2025, 'sexbots will be commonplace' - which is just fine, as we'll all be unemployed and bored thanks to robots stealing our jobs",,"Aug 14, 2014",,https://news.google.com/read/CBMi_AFBVV95cUxOMERWcVFJVDNvYld6Z1RXVXVlcHl6eVZvbTNCWEtCUWhwR0NiR2gtbUlWZDV6d0tPZlRPQlJpdmRQRDl2TTlrVm04U0UyTTV5YWhGYmJ2ZjVaZ1N1eFpUNEhaM210NnltelV3UWFOekJYMFlRQXk1S0lHUW43WlpURnltOE5pSUM1R2p3bHh2Vkw3SVhmN19JelBYa3oyeGhPYWQ2YUxidTRxUjNhNkkwa1d2dVJWT3F2bHVMbUNMOUJfeWNpNGZGWjRSbEg4RjlFY0o2eDhxcWxMSGZnTGhGMWRGUEYyclU3eFk4Mk9Yd3RRNTJ1V1V5eFF4STA?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNURMVGxCT0MxYWFGRkVjbk5TVFJDb0FSaXNBaWdCTWdheEk1QnduUWM=-w200-h112-p-df,ExtremeTech,,By Sebastian Anthony
19,Will the sex robots of the future look like this 3D-printed mockup?,,"Dec 22, 2014",,https://news.google.com/read/CBMiZkFVX3lxTE5EZTEzQ0ZMZXdNT1BOWnJSdHFvZnByQ2ZWanQtOFB6amtWcFpseDhRQ3cxdENZUkdSOFI4emVWcWR2Nlc5U3hvZzh6YUJienp4TVUyQ0hMSHlVeHlfU05nWXFOVTY0Z9IBa0FVX3lxTE93SEszWGdvYXQ3N1JkQlQyYUxFWW5VUUdyX1dleFFONWJDVkFheTA2LUxOOUd2TVQ1ZnA5V0liNmZyMzJYY2tDZXBIOEU5cHNYZFg5aVZqRy1LcWkweVNzdDFlT29jQTNXTkhF?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iL0NnNWpWRlJGUzFBeVEweDJkRzVhVFJDZkFSaS1BaWdCTWdrQkFJVEduT2VSMFFB=-w200-h112-p-df,The Daily Dot,,By Ej Dickson
