,title,desc,date,datetime,link,img,media,site,reporter
0,Here Come The Sex Robots!,,Jan 22,,https://news.google.com/read/CBMic0FVX3lxTE96SjdxVGlxN1BENGIzbm9SUENKVElkX1BQSlA0LU1kUXplYzNFMDJmRV9SaUFHRVBhZTVwTnEzMlc3SzRycS1IdnpFdUUtTjd2cHNKcE4xVnFsdlFENFBIOVFOcG1BMVl6QTBXZmNKdjdpQnM?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iL0NnNUNlVVJZYjI1aFQwOU9TMll6VFJDMkFSaVVBaWdCTWdraE1KSUxGaW9lUndJ=-w200-h112-p-df,City Watch,,
1,Annie Bot review: A sharp take on a sex robot that becomes human,,Mar 13,,https://news.google.com/read/CBMitwFBVV95cUxQVzVlaXlvSVZWd0E2RXlEWUx0dUgtZVpwR2dRc0pUek1IMGllUnpPdjRwZmNmVkpvTmtkVU04a3RBdGVITy1mV0ZVeTdackhyUW5sM3BKd0txMkdUbDlWRy1HVDVQZ05mekpjY1lBenZTcENwQWktVjVDUG1kT080ZV80Z0FLTS1TVlhhS25IT0hCd2JTVGhQaS1EOV9JUWxCaDZGbl9WUmplVHVjMTJqSXRoVzhFSnc?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iJ0NnNDFTbFpKU2toTFVtNUZTa1JaVFJDM0FSaVRBaWdCTWdPUkF4SQ=-w200-h112-p-df,New Scientist,,By Emily Wilson
2,Sex robots go to court: Testing the limits of privacy and sexual freedom,,Jan 27,,https://news.google.com/read/CBMiuwFBVV95cUxPLXNhMUxyeHNMRHRLRHI5dmdwZ0RwelN0bWNWNDFBc2dNbVJqNjhkV05nN0U5aFBhaE53aWs5X296Slg0ZXkwZk5TNUM2NjlyMlBPc2hPbmQ1TDU1T0cydWVYN3Naa3NkOWppNjd1dVVhQkh6RkNEanBOeWFiZFJ1cUpZYVB3TmpGWWg1N19JTHZ5ckoydDBzVk9XZWFxeEZEbnA2Z2k3cU1zOTlIbUV1Y21ic1l0amtSaV9z0gHAAUFVX3lxTFBxSFF3cjY3ekFHZU5qeXQyZ0pKNzBVUW1fSFlKdk44Nl9hWld2VWIwS2paWkpKU2RYOTk5Z3NYQ2lQQ3pQcms0UUdOaGhCd2RUSjVFNTBIeTNtcjhHTF9JUi1jcEI1eHkxWnlEQVctOTRMT2x1LVZhNHNsdWlYYUt2Q3NmVmpudXJ0T2xkdWtJZWs5Z1k0SS1Qb2luTnp6R0doUlppZlJMbHNMbWJvTk1ZVFBWaklPRkxieVRrdjRnbA?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNVVUMFJ5V2paQ05XVXRSamxJVFJDb0FSaXNBaWdCTWdhbGRZN3NOUVk=-w200-h112-p-df,The Hill,,By Jonathan Turley
3,China’s next-gen sexbots powered by AI about to hit the shelves,,Jun 18,,https://news.google.com/read/CBMisgFBVV95cUxQYnJ6elBpalRxNkZQUVBDdHloOHVVcHoyNWRCY0V5ZHRWOXlRNXRUelFRVmh3cThDdTJVcXNCTnVLNjh0NlFvQkV0U1pSRVdWQ1hFTERna3FoM3N1aG1kRFBpZEZxM2tSTG82eV9JRV92cXgyeV81TlhhRlVqTG1ObmsyenlpTlhaY1ZPM3NYckpMZXlvNlRYamZGX1pTeFAtd3RrZ19TMXBaUXlxaUV6aXZ30gGyAUFVX3lxTE9PUU9adnAzMzRPUmpFcW5JMWpXcU9zelNNb2U3VUpBSDVjLU9tSGtTNlVXeFpMaEl5ZzVpeTZyNGhtdlVSbWo2bUxSekFFY3p4Z19nMGVDM19QZTdmbHFTdWQwMnotTHRGR3ZNRWlVS3lkV1pRWWdkLXhvOWhXdTM5dFpLN0dWWmRSZ3hJRG05dFFsQlUxQkhOZmN1Wk9lQWJHdjFXYV9lVmJhRkVkUnRqYVE?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNVFkMWRYTVRaa2JVZEpXVmhOVFJDcUFSaXBBaWdCTWdZeEJZNlBsUWs=-w200-h112-p-df,South China Morning Post,,By Zhang Tong
4,"She’s an A.I. Sex Robot, and She’s Becoming Sentient",,Mar 15,,https://news.google.com/read/CBMigAFBVV95cUxNS0lpNFhONmtaRFZsZTdDSHhnUC0zTFdmdkZqaTZ3RHRmTzliTC1tVnRBbkZhc0FJZlg3cXNHaXFFcmNJOWRoODlrRHljUzRnSk9jaFdacUt3YTdCdFREYVhMeUNTUjZUY2FCbkxiV1VXcVB6aEZaSWtvVzRPaHV5RQ?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNTNja3R4TjJ0eFgzaEdSRzV6VFJDM0FSaVRBaWdCTWdZcEpZcXRvUWM=-w200-h112-p-df,The New York Times,,By Lydia Kiesling
5,The truth about sex robots,,Jan 30,,https://news.google.com/read/CBMidEFVX3lxTE5VZGxNeWswSVpYelJ3QWRNRzVldnY4aU4xdFN3RzhsWktRYTlOb2JVbGs2eUhndmY3TURfRFFLblB5QzRMdWxuOWNzTFFkbEJNZENqb2hjdFZrMk1nYmtpTXotRTU2bV82bEpRcERLNFFySC1B?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNTRZME4xT1dWclNtbHhkMHByVFJEaEFSamhBU2dCTWdZbGdKQzRMQWc=-w200-h112-p-df,Cosmopolitan UK,,By Paisley Gilmour & Emily Gulla
6,[Simulated Part Two] In bed with machines: a real-life and sci-fi exploration of sex robots,,Feb 16,,https://news.google.com/read/CBMipwFBVV95cUxPV2p1M1UteWE4aldsREw5d3l0VVpxRlQ3WlNpdmx2NFRZc3lpMnhCSUx1ektYM19yVmIzTXdJLVRoM05QcDVWUFpOcGNuMU9abTd3c0JBaWRtQ0xrZV9ZZ05ibENrWkROQ2REOUs3dXZTYVRYdEkyeU9sTFlDaU5MSlNWaVJpNDBrcncxbzRIVkllQTRXQXpSMnNrRDJnbklUck5ONDJ3Yw?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNTFNbVpWUW5oWFNscHphMlJKVFJEaEFSamhBU2dCTWdhTllwSW9wZ2M=-w200-h112-p-df,WUNC,,By Anita Rao & Gabriela Glueck
7,Sex Machina: The Hot and Dangerous World of Robots,,Feb 8,,https://news.google.com/read/CBMivgFBVV95cUxQTk1CRjlHajNsNlhKSGFnUDIxVjZPQndpRzl0YldtLXJveDhNZFNRV0xMQWZHclV0VG14SWtzVTI2SWhWZExHTWVoZmJta3MySUMxLTh3Ni1hcDZ0UzRzd3lHV00wUE9CUl81UWo5RHg1eEVUeU5yMHNaeXcxN1duRkswb0ZTZkJLdy1nczM4dHM5Z0FwXzNuWEV2N0FjVUNOVkFzRzhERkJGT0dSUUJLMi10dU85M1hvMjJ5emxR?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNVplaTFaYkRZelRHZ3hibEZQVFJDb0FSaXJBaWdCTWdhbFZKU05KUWc=-w200-h112-p-df,34th Street Magazine,,By Luiza Louback
8,Gabfest Reads: When Robots Feel Like People,,Jun 15,,https://news.google.com/read/CBMi0wFBVV95cUxQaVZfM2tjU2pWUTZWcnpfY25CTXhIeXI3ODFPektfM1R2ZXhDbDBpY1JLbzliUTVmNnc0UklOYWloMjJmTHZrbzVkV013c19XX0dRMUF5Sk1sc1dPa254MXR1MDhtYzYtNGN0eU5ocm04ektxNkRMQWMwNGdPTEhNekZGbjRJNzNhY0RyS1dQVi1na25mREFLN1EzSlJZTnNiYVh1ZmlyNmZXalZ3TXJQeFBpQmNyekFycHltdGkyejd5YWNncTZOTnU0WkttU3AxTDQ4?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNUdkVGxqUm1ScGRFRTVaVkZuVFJDM0FSaVRBaWdCTWdZaFpZNnNxUWM=-w200-h112-p-df,Slate,,
9,"What predicts ""robosexuality""? New research identifies three surprising factors.",,Mar 25,,https://news.google.com/read/CBMipAFBVV95cUxOYWw0MTFuZ1FSeEw3WXNweWR1Mmh2aUY2ZnhnamdYMjB5eC1ZUnF5UVBJUm8wRjVYRExLYVBZajlCSVlXVEkyTEJGOGdVYjkwSzBPbmRKT0pXeGVscjhOQWNPcDBlVlhHYjdlaGVzYm94SnVHSWgtTTQxNlRoUl9tRFNEZkp4TmV4NmNVelkzenczMTV4VUVsZVhXUzloN2lJem1ZYtIBqgFBVV95cUxNb1lBU2lyMWVnWFFfZEx6enRYelhiZVktRksxalU3Z3dWVEhSTElxaUZqS1VkSUhvVkthaGU5S1o1SGRVMk1BN3dNNzF0a3piaUVFTmNVRjFzeWVpNkhGTVNydGdwYWVHNFVkalVZYm4wakRJVnUzanhFelhDYUVobHpuT0k4aXpPVFpXbENHWmdFNGJ0NUhCaFpuSXRIM2Z4TFpBVWlnN2pnUQ?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNXpTVUp5TmpSSGFIYzNkVmxqVFJDb0FSaXNBaWdCTWdhcEpJNk5tUWc=-w200-h112-p-df,Psychology Today,,By Alexander Danvers
