,title,desc,date,datetime,link,img,media,site,reporter
0,Sex of the Future: Robot Prostitutes,,"May 4, 2012",,https://news.google.com/read/CBMifEFVX3lxTE53Vm9KNnlNUmFXSE9GWkROX3hLOU4xQTRxYmNrdHNHVmdSMXpWVEo4WTBjTmc1cjQyV3dIV0xLVk80VnZydWlaZ0s5LU9BcklfX0VRYWJrWF9IaGwtcURoUHhKakN6UlduMHhQRC1yczZBaG1EbzBTdXJBWTI?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNVFMVjh6WlMxVlpFUlZWV2g2VFJEUUFSanpBU2dCTWdZWkVvenprQWs=-w200-h112-p-df,Boston magazine,,
1,Sex Robots: 4 You Can Buy Today,,"Apr 20, 2012",,https://news.google.com/read/CBMibkFVX3lxTFAzNEVXRk53cXJNc2kzWDJIYmVtVU92QzRMOVYzTG5SZ0IwdmVaQU9GNldkYVlpOUFENFJlajZfSUNRUU1XVXJ3a182cXNsTmRfSm1NZEtKZjJxTW9fMlgtdDMwREM2MEpES3JyaVdB?hl=en-US&gl=US&ceid=US%3Aen,,International Business Times,,
2,The world’s first sex robot,,"Apr 19, 2012",,https://news.google.com/read/CBMiVkFVX3lxTE1yWnJHTGVtLXAzaUl4N1ZGNHZqa1JHdkROY21tb2VFZXRwazE3bFcxNF9zV0lqZUY3a0xyenIwRWRaaG5DUmx0eEtqVFQzMHpSZEc2d1Fn?hl=en-US&gl=US&ceid=US%3Aen,,bnn-news.com,,
3,Just another Robot Sex Movie… (Sundance),,"Jan 18, 2012",,https://news.google.com/read/CBMipwFBVV95cUxQNnNWZUJPSlFjX0xoWGg3clJpNTJOV3hFRFZIZlJFSlRwTUwyVXNRVTZwODNsbUxuTTJBdlZxQ0JqUHJpRVJNbkFkTlJGVkNKNGcwbWU1b3UtSzFRcWN5YTFyYjA5d0dwX2d0LWNyNFZ4TUNKQXE3TVVKWnNWcWh2bXo2bUJ4ZTgyaWt2a05Kc2FCaEVfcXNFdldjRnJZZjJMZVdicGkzNA?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNXJSV1EyTFVsS05HcGFWR3RWVFJDb0FSaXNBaWdCTWdZcEVwcXRrUW8=-w200-h112-p-df,Stark Insider,,By Clinton Stark
4,"Sex Robot 'Longevity Orgasms' May Help Extend Human Life Spans, Futurists Suggest",,"Nov 9, 2012",,https://news.google.com/read/CBMihAFBVV95cUxQdmFqa0FOUUJTQUU5VUZINDRyQ2NpMTFOVWRHakgyTFBkY3l2MUh5NmZPQzV3aG9uU2VWamNVdmdlYXdoMWFsSXRPZno2Sm9EVm8yd0ZnYWRHdHRvblVuR0o5Vk90d0NzdWk4ZVlKdkdzYXpEY1A3azZwTlFHbVRpb21rVjXSAYoBQVVfeXFMTWJSelZLNHNCT3NpYjY3UGNtRHRpVDNCbE5CN29vZ2dfSGMwRWtWMWZ1OXBMNk5MTzVoNWpQbzN3TnR4U05waFpYeHNPVW1leERZaVBRcEJ3eFBUQjM3SlplOUN0eFBGSVRZZ1ZhcmVqbC1mVTlzWUk3Y0piSWNXVi1VbmZGNElkSWh3?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNURNbDl4UzNkWVdWcGxkVUZrVFJDb0FSaXNBaWdCTWdZWnM1Ukt1UVk=-w200-h112-p-df,HuffPost,,
5,Robots: The gateway to 'mind-blowing sex'?,,"Apr 25, 2012",,https://news.google.com/read/CBMiiAFBVV95cUxQbWEtWWhrTTNoWTBWcUZuNE1UY0dzQVg3cXF0UG9tRVdyWFRBQUFZTFM2RnQ5a3lZbHh0c1hCZC1PakRHdDZZYV9IYWV2b1RqY0pyTWdYMG5BTGp0YmxwRm8tTlBuMDRpM3lEU3ZSeWRfcThpYVF1ZDBLNWlLQzFrd3hWTk54Nk5q?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iL0NnNWZUQzFOWmtsS1pITjJiRUphVFJDM0FSaVRBaWdCTWdreEk0cVB1U1ZGcFFJ=-w200-h112-p-df,NBC News,,By John Roach
6,Robot Sex the CleanTech Future of Tourism?,,"Apr 25, 2012",,https://news.google.com/read/CBMidkFVX3lxTFBneGJ5d29tcUkzdEM4N29Rb0RoZWFrS2wtRFo3RWlrMDRpZUdGeHJac2d4b2I5Wlh3RWwyOVMxdFdrV0ZpV09jMmlqZmNLY0pHamM5TE1aM3V5aEJDUU5Pc0tWcVRmNFZrUkFtTUlyWUcyRS01X0HSAXtBVV95cUxPbEtZX3Q2b1RUZjZqSENGeWhBdmlOcGxoWk9VZXY3dml3ZWZKQXhqcEV0TFA5THFZN19IOF92ZTVFUGN6SWgyYmQtS0U3a0FfaE5FdENIcTNSSWJsMUFzZml0Wkt2LWJoVjBuajZJdDc1VXJGNkVkRXZYcHM?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNXVSVkY0UVRsQk5YZGlSemw2VFJEaEFSamhBU2dCTWdhVkk0NW9vZ2c=-w200-h112-p-df,Green Prophet,,By Tinamarie Bernard
7,Do humans dream of android prostitutes?,,"May 11, 2012",,https://news.google.com/read/CBMiiAFBVV95cUxPTU5BNzFWcE95ZUJYX0pDcFRqaWk1YmFKT1llVVktaTJkVjhFTVhUME5aRWxhd1hNejYwRlFwUUF0THEtZFdyWTBScGZmLW5seEFCeGwzdkw3dzVRaW05ZFA3OGZ2dXVpakZQTFNEU25ycDM1WTd0a0UxRjNWTXlGOFFGQUJxZ2h5?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNUtjMmhZYlRob2VFdEhMVkZVVFJDb0FSaXNBaWdCTWdZdEJvVHREUXM=-w200-h112-p-df,ExtremeTech,,By Sebastian Anthony
8,Bizarro Back Issues: Superboy Becomes a Super-Man (With Sex) (1977),,"Apr 11, 2012",,https://news.google.com/read/CBMikgFBVV95cUxPdS1VLVhmRzFMYzNKemMzUDJwS3pqM2FLOGE4Tm1IRWxjREduR3phZ2ZpOGN3QzROLV9YY2g1UGlDcGR3TnUwRlpTX2VBQlM1dWZUX1VlcnFQb2tHaG1SRkdxTnQ4T2dKSE9IZ2MyT2dDNTQxdFY0UXBRNDJZR3U2LXppNkNfUUpMQjNvRUlYemtfUQ?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNWZjRVJHVHpodFFVaFFabll6VFJDM0FSaVRBaWdCTWdhQkFvWkxtUWM=-w200-h112-p-df,ComicsAlliance,,By Chris Sims
9,Documentary Meaning of Robots Unearths Droid-Porn Creator's Gadgets,,"Jan 27, 2012",,https://news.google.com/read/CBMibEFVX3lxTE90UjlGYkR5R19Wb2NId1RrVGxRTG5CTndjdTdBaXpFMnpuWmRsTW9naXpFRDBtcWNiOVBVdDZJejB4dmdpNXhmMWJ1X0EyWG1fLVFZQ1BVbW42elctTkYya01jQjE2RVdUSUY0Vw?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNXFkRzlEUlZsaU0xcElOWFpSVFJDcEFSaXFBaWdCTWdhcEVack5rUW8=-w200-h112-p-df,WIRED,,By Angela Watercutter
10,"Sex robots are not just the future, they're already here: Scholarly study missesa Houston reality",,"Apr 22, 2012",,https://news.google.com/read/CBMi3AFBVV95cUxOUzhYbUJxQndLczdEdlZoaGtIQi1UTE82bmZXZWg5bWc2Um5lQWNVVTdVTzl6YXduMjk1eTRFdXhwcFZoc0Z0bFYxWlFvRWZiSTlmb0dkSk9JYWVMTUVtX1htNWt5WkpVRWphTktReFpnUkNTRm1aTkxiLWlEelJ2NzNxZUF4UmlkbXhVOXZ5MTNTNDcwMWcyTC1fNHk4bGdscC1qNXFGZTBMVDZoSkgyekUweDllcHVpNndXZTdzelF5VlVKcmZkaHFsNmRoRDVTNnRuOU5LVDNYWVNm?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNUNRbGRPV0dkeGVFUm5NazA1VFJEQ0FSaURBaWdCTWdZVlJvd3BuZ2c=-w200-h112-p-df,CultureMap Houston,,
11,"This Week In Bots: Snakes, Barks, Vacuums, Sex Movies, And Other Mechanical Surprises",,"Jan 20, 2012",,https://news.google.com/read/CBMirAFBVV95cUxPbExkWFJ3c3ZmbEprbC05cTRuc3ctOEJ3aGlEeWJLRmh3N3owNUVURDVPZS1iU2l0b0NqSHhNVndZOWJ1bVdMTGNHZ2hDbEhhbDMzeVRaT1VTQ3VuRUR0X0tObjRsQndjdFN0QVNUUFFoUDduNFgxd01IZ240OVc4M0tTT1FhUmxjRkgwdWNNcE9JOHE4dFFDRkp3ejlaRVdZbG9hWUxXRmlfMVJl?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iMkNnNXdSMU01VW5oNGJtMXVhV1ZRVFJDVEFSaldBaWdCTWdzQkVvNGtIYWRUSlF0NFl3=-w200-h112-p-df,Fast Company,,By Kit Eaton
12,Get To Know Our Coming Human-Technology Civilization,,"Jun 13, 2012",,https://news.google.com/read/CBMiugFBVV95cUxPckFDRld4cUE1WFgwbzJKeENTRXp4VnJQaF9wRERyMjFqZXdIUnVJQWhScjJlMFRZZzE0WDl0SDFnNVlENEtCVEFISm5WaFVTWnpYRXZxaDVOa2cxdERINDgwSmNkTklBb2oxdV8wSGg2TERXcm5lOHYwS1BrcUNxNmNFQUoyR0R5UzRISFhIMjZraHZMal9LRENucUF6dmtVdUVud0RMZzdKWkpMYXN2YWppX2g3VUNXVXc?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNXFhMWxwT1Y5bmRVa3hhREo0VFJDdkFSaWdBaWdCTWdZWnFJcHB1Z1U=-w200-h112-p-df,Slate,,By Ayesha Khanna & Parag Khanna
13,10 Reasons to be Terrified of Robots,,"Dec 13, 2012",,https://news.google.com/read/CBMiekFVX3lxTE8zQlU2bHJRc1RHRGx3MzA5aGdqbURKQlhyQkNXOUh6TkJPTk93aHAtelFrRzhYakFIdVJKMk1fUlY4dU5NVE9WNHpEWnRLTG15VWRDSWdOZUw2VnpuX0VTSlROdE81QWFhYzItaHFhcE1LRDN1YzFrSzdR?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNHhhMUpwYVdzMFlrczFZbEZSVFJDb0FSaXNBaWdCTWdhQlk1TE1MUWc=-w200-h112-p-df,Listverse,,By Eli Nixon
14,"Brothels will offer robot prostitutes by 2050, researchers predict",,"Apr 20, 2012",,https://news.google.com/read/CBMimgFBVV95cUxPQTBJSGowRFJsZTJtRzJTUTBSZGppMW5rSmxhaDdnSlQ1VzM0Q1lIQ3RyalVIeFQ3bWI1ZktEYnptVzBIZmphR0tiZXF2cWpxTEFoV0twQWc3SGNiSjBwbFIyQUlKU240aXdTUjRRTF9vZWhnS01BRmtENWZadE02cEpOOElFVTduRlpuVzVmQ05tTEZiekI5SUpR0gGfAUFVX3lxTFBzV2x0dkdlRzVoSFY2TWRLdy1LMThBVlpIVWtBMlY0eENDd3FCS2dfVVB2c3FoRUVPNHg1WGdnWEtMRkVtQmZFel9TZG1Ec2w3d1Z3ZGh3VDZKaFRmODFxQk80ZGVlYUs2eXV3bkxUWmU4MEtZaWp3R1NWUUdETE90dkgxUEgtcEczakJ1NmM1Szg1WHlMODFJNGZSYXFKRQ?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iL0NnNWpOM1pRV21GU1JIVllUMmMzVFJDb0FSaXNBaWdCTWdrUkVJaHdtYVN4QXdN=-w200-h112-p-df,Fox News,,
15,Sex-for-Hire Robots Predicted by 2050 | Prostibots,,"Apr 23, 2012",,https://news.google.com/read/CBMilAFBVV95cUxQdi1RQUtUVGpndmZNTGJGejdzVDV5QUhoYzdnMVVWXzJDZHVjOGZGNkNLdUlndHdSZUE4Y25LeElLQ3B3eGhuT04xRENHNllPdWZtOGhSYjNwd0hSaEpMRUZtVTZLSXpocUJramNtcE9ZREhMbURZVU1POENCd2Y1NVp4dTh1UHNtSzdSYkJ0TUxBdTI5?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iL0NnNTVWa0pmVEhVM1UyWm1OR3RWVFJEaEFSamhBU2dCTWdrQkVvd3FGcXBNN1FF=-w200-h112-p-df,Livescience.com,,
16,Sex Gadgets of the Rich and Shameless,,"Apr 27, 2012",,https://news.google.com/read/CBMie0FVX3lxTE5abThDUUhtRmlQaXYwdWVrTURqMnN2aFprdTh2UnpoSjdwdW9Vb25DbTFudnYtSWcwNm14MWh0RUNUYzNGTnZ6TkZxcXNFWGpkV0VTTjhwTTN4NW1WRU8ydnB0d29ESzBSLWRWZ25mS1dCR1lVUmVPdm5VRQ?hl=en-US&gl=US&ceid=US%3Aen,,VICE,,By Trevor Macomber
