ID,title,media,date,datetime,desc,link,img
139,Proposed Sex Robot Brothel Would Require Customers to Obtain Robot Consent,Jezebel,9 months ago,2023-12-16 23:19:40.973564,,https://www.jezebel.com/proposed-sex-robot-brothel-would-require-customers-to-o-1830645782&ved=2ahUKEwj6sq78j8mIAxXxGtAFHZXsE4E4ggEQxfQBegQIBRAC&usg=AOvVaw3C7qXtNnwS_2R-UFq0xb-s,
140,You Can Now Buy a Male Sex Robot That Features the Penis of Your Choice,Allure,8 months ago,2024-01-16 23:19:41.426682,"Meet Henry, the tall, dark, and handsome robot of your dreams. Henry is the latest sexbot creation from Realbotix, the sister company of love doll manufacturer...",https://www.allure.com/story/realbotix-henry-male-sex-robot-with-artificial-intelligence&ved=2ahUKEwi4wMb8j8mIAxXsD9AFHdNVBmk4jAEQxfQBegQIAxAC&usg=AOvVaw2x19huFURZcEmso9EDmZ9r,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
141,Are We Ready For The Robot Sex Revolution?,Madras Courier,9 months ago,2023-12-16 23:19:41.428437,"There's a limit to realism when it comes to flirting with artificial intelligence. Since 1987, the Virtual Woman software program has had users strike up...",https://madrascourier.com/opinion/are-we-ready-for-the-robot-sex-revolution/&ved=2ahUKEwi4wMb8j8mIAxXsD9AFHdNVBmk4jAEQxfQBegQICRAC&usg=AOvVaw2Q17EuQF_DZ9Td14YC8DmJ,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
142,'Call me baby': Talking sex dolls fill a void in China,Yahoo News Singapore,9 months ago,2023-12-16 23:19:41.430108,"With China facing a massive gender gap and a greying population, a company wants to hook up lonely men and retirees with a new kind of companion: ""Smart""...",https://sg.news.yahoo.com/call-baby-talking-sex-dolls-fill-void-china-080838279.html&ved=2ahUKEwi4wMb8j8mIAxXsD9AFHdNVBmk4jAEQxfQBegQICBAC&usg=AOvVaw20Di_6zKMGJG0XkPIf6fiA,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
143,The Sex Doll Who’ll Do Your Dishes,Sixth Tone,9 months ago,2023-12-16 23:19:41.431780,An erotic Chinese robot could mend the country's lonely hearts — but the jury's out on whether it will harm gender equality.,https://www.sixthtone.com/news/1001619&ved=2ahUKEwi4wMb8j8mIAxXsD9AFHdNVBmk4jAEQxfQBegQIARAC&usg=AOvVaw2o7RURj4G3d3J6xiQSuRi2,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
144,Fan of sexbot 'Samantha'? You might have to do more than just 'plug' her in for a good time,IBTimes India,9 months ago,2023-12-16 23:19:41.433431,The sex droid Samantha is being worked on through an AI update which means it will decide for itself if the user is a good person – positive results for...,https://www.ibtimes.co.in/fan-sexbot-samantha-you-might-have-do-more-just-plug-her-good-time-757359&ved=2ahUKEwi4wMb8j8mIAxXsD9AFHdNVBmk4jAEQxfQBegQIBxAC&usg=AOvVaw39cAlKynm93RYXpiWZCafj,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
145,CES 2018: This bizarre sexbot can actually swap faces,Fox News,0 months ago,2024-09-16 23:19:41.435070,"Though still nascent in terms of sheer numbers, sex robots have increased in popularity in recent years, with Abyss Creations' 'Harmony' RealDoll arguably...",https://www.foxnews.com/tech/ces-2018-this-bizarre-sexbot-can-actually-swap-faces&ved=2ahUKEwi4wMb8j8mIAxXsD9AFHdNVBmk4jAEQxfQBegQIAhAC&usg=AOvVaw14SaAKzRBms41h5YV_9dMB,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
146,"This Ultra-Realistic New Sex Robot Not Only Has a Personality, She’s Also Customizable",Maxim,0 months ago,2024-09-16 23:19:41.436749,"A sweet-talking, dad joke-telling, super customizable sexbot named Solana, which was just presented at CES during Engadget's After Hours show a few days ago.",https://www.maxim.com/gear/new-customizable-sex-doll-2018-1/&ved=2ahUKEwi4wMb8j8mIAxXsD9AFHdNVBmk4jAEQxfQBegQIBBAC&usg=AOvVaw22n_s9m0MNf3Pn92G97mnh,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
147,Harmony sexbot inventor unveils new personality Solana,Daily Mail,0 months ago,2024-09-16 23:19:41.438179,Creator Matt McMullen debuted a new personality named Solana – by switching the sexbot's life-like face for another.,https://www.dailymail.co.uk/sciencetech/article-5257099/Harmony-sexbot-inventor-unveils-new-personality-Solana.html&ved=2ahUKEwi4wMb8j8mIAxXsD9AFHdNVBmk4jAEQxfQBegQIBhAC&usg=AOvVaw3Cx_uxUDgfvfcd6ujjn32M,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
148,There’s a new sex robot in town: Say hello to Solana,Engadget,0 months ago,2024-09-16 23:19:41.439582,"It's been just short of a year since I locked eyes with Harmony, RealDoll's first sex robot, at her home in Southern California.",https://www.engadget.com/2018-01-10-there-s-a-new-sex-robot-in-town-say-hello-to-solana.html&ved=2ahUKEwi4wMb8j8mIAxXsD9AFHdNVBmk4jAEQxfQBegQIABAC&usg=AOvVaw2yH_QBuxkoKC85Li0q1gud,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
