,title,desc,date,datetime,link,img,media,site,reporter
0,Opinion | The Redistribution of Sex (Published 2018),,"May 2, 2018",,https://news.google.com/read/CBMihwFBVV95cUxPWlBTcldoYksybUVJQnhxUi1yME5nTTVjenlmYUU4UUdqT0JXX2ttYlNwX0M1QXdzMHRmRklUTy1FVDE2cmFQWDFCemc4M1k1TlhVLUQ5TG9acEczQ05yM1h1UkJGSWFMMUxaTDBObGYzSTctNzJSd1IxazVSMzN3NGhiSlQxUWs?hl=en-US&gl=US&ceid=US%3Aen,,The New York Times,,By Ross Douthat
1,Dr. Ruth Isn’t Down with Sex Robots,,"Mar 9, 2018",,https://news.google.com/read/CBMidEFVX3lxTE5WVDN5U0VxVnMtWVNGMUgtcVY4aEVxR1VtaTc1Q1dxcjdtbm1lSVoxUF9OUXppc3dhLWNFQ3V0MG53RGZ5N0Q4MWU4Q0pzRjZSU0Fpa1VjV3dtbnYybGhyZ1EyRU52MUZVWlI2eHlxenM0T3M2?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNVJPSEp2ZDBaUlFpMHRkMFkxVFJDVEFoaTNBU2dCTWdZZFZZN01JUWs=-w200-h112-p-df,VICE,,By Justin Caffier
2,Why Sex Robots Won’t Satisfy Incels,,"Aug 29, 2018",,https://news.google.com/read/CBMiYkFVX3lxTE1KdUczOC13eWZmZVZ3SnU1bWJkdmRRSWs0eTlDaVhORkh3c1U4b3cxVFBCb085TlVEdTQzMGJEeGJmYXJYbGFRWThLa2E2U2cwemNzMGZKRkR3MU9wLVdXS1V3?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNXFZMTlEVUdsd2FIQkNURUZuVFJDdUFSaWlBaWdCTWdZbGRvYnNzUVU=-w200-h112-p-df,Rantt Media,,By Greg Fish
3,Proposed 'sex robot brothel' blocked by Houston government: 'We are not Sin City',,"Oct 3, 2018",,https://news.google.com/read/CBMirgFBVV95cUxQWF9zel84bFFTcktYZ0I2ampzZXRIVm9rQ29MRmprdEpHWnctOGRKeWlMdl9RaU03OGQ0eFhWYWdJeG84YVhtXzNLbEluSkg2a1JtMGtYWTA4X0c5NFdIaWR1WlU1aXRIT21RLUpwMXhCR1AzTnNyOEpGdzFKeno2LVVoakxNUVdxb0thOHhtbHFTTC1SMmpNMmlMcnNtbnhTRlMzRThMWHZTSmMxeUE?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNVhaV0ZOTldzeFZsZHdOMFI1VFJDcEFSaXJBaWdCTWdZSlFvNVFMUVk=-w200-h112-p-df,USA TODAY,,By Joel Shannon
4,"Claims about social benefits of sex robots greatly overstated, say experts",,"Jun 4, 2018",,https://news.google.com/read/CBMivgFBVV95cUxOdVR2VHZreHptbWVTZnlBa1lfOWgxMHdCUFNLamNXX3BVNE1Qc0dwV2ttZ3dJQ25oTElsREV6c2FyTUd0V2VJcUdXUkZ6VjdoOXlhd25jLXoxU2xDYlV4aTlma2NJdFBFTDVjdm1YVXY2SDVyWFhadzRLRjdxa2xlbmttd1ZMc3BoWE1MdklYM3FGc3pYWjk4SXBLeUVycnZyc2twcVppdkZOeFVCWmVubEVHel9UcjExOXVIUFd30gG-AUFVX3lxTE1XUGc4UFlxSXYwX2dwcmEtN2d6YjF6TTdfcWVNTXA4VkphaC1zSTFvR0RsbVQ0MldoMUgzUWVBSWJwR25wOTR0c1JKMFZld0RFaDNrWE56T1hoZGFfUFB6OEY4MVVGdC1Da2tmSVlObzA1aGh1cGhsY3pac0FTdHRTcmtURnBNSk1SMkMteFJBZXhBaGVMZTA2WktzS1l1dEppdGRpT0F4RmJtRzhNTHRyMDg5c0JMS24ybnhUNXc?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNVVSWFJCVmxFMVpHcFRNazlpVFJDakFSaTJBaWdCTWdZZFVvQUtKZ2c=-w200-h112-p-df,The Guardian,,By Nicola Davis
5,Things to know about Houston's soon-to-open sex robot brothel,,"Sep 24, 2018",,https://news.google.com/read/CBMiswFBVV95cUxOd3ZuNEdEelBrZmxyNDg2WTlpQVZkYV9Rd3k5ZVQ3Y2l0R0NjbDhPd0ZKVjdRMkd6ZUpxSktGbkU3LWpSSU9kb0NoMFJ5VzlBNi04Y3NSbEQ4d0xGcHMtQVI4R3NmUHBndlJWNm5BUXRwbldqaGl6OThXZEgxMFZObVFlaVkxclZueTBtck5hQ2dmMUNMYkpvWm1EdGxaVlE4U0NNSW9XNlRTbm9BSDFnWmxLNA?hl=en-US&gl=US&ceid=US%3Aen,,Houston Chronicle ,,By Fernando Ramirez
6,Everything You Should Know About The Proposed Sex Robot Brothel in Houston,,"Oct 3, 2018",,https://news.google.com/read/CBMinAFBVV95cUxNU0hTcDdpbEdWaWVmLUVYbXRfei0yQ1Fjb3Q5MVdXYmF4dzlLVEY0aVNob01fWWlEWXFkRmNIVFN3MEFrOTJFX2VaeF8wajhVaER2XzlTSDFIOURzcmw4dmlRSzQyMWp3U2EyLUMwMm04dWdWUUthMm9VeVJJU3k1MGhoNWZYTFN0OVdGODd2MHctWUhlcVFOdkdrODQ?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iJ0NnNHlPQzFwUWtwaGF6Y3RORUpuVFJDeEFSaWNBaWdCTWdNOUF3dw=-w200-h112-p-df,Texas Monthly,,By Dan Solomon
7,How Hacked Sex Robots Could Murder People,,"Jan 1, 2018",,https://news.google.com/read/CBMieEFVX3lxTE0zWTlsUU9wUkFxMl80bnhnRXRKWWtoUXBXT2pRVklacU01QTFqT0s2a2lsd01adVhYTWR4RmV4cjAyYUcxOXd5eHJJUTNGc3FRd1JUam5ySGxSU3hVMkRIbmtkM3ZUSDVtQmJwcXc5akJsV0xTV1pmXw?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNUVZazVCVEVNellqUnFVMFJqVFJDb0FSaXJBaWdCTWdZeEZZcVBGUW8=-w200-h112-p-df,Newsweek,,By Anthony Cuthbertson
8,California Cult Leader Unicole Unicron Plans Sex-Robot Brothel—With a Twist,,"Nov 26, 2018",,https://news.google.com/read/CBMiqAFBVV95cUxOejVGUG9rSkF2SnR0LTFFcTU3SEthbjJmbzRYRkN3MklNWE10WU5lUmNhemJJTDVRTWtYTDdrOGN5cktBRDVaQllUWEk4Z1paUGtZTVlaM0ozdVhyZ1RGREtWa3NhU0VYemNsYzZ3amVWY3VIOFdLX18xdnZuZWhVMlZwbkpqRi0zTkZHMHVWWkhMM0hfWlB5MDIwWEhvNVZlRUdrNFB0cDA?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iMkNnNW1WMVJzVldGRVFqTTBTRzFrVFJDb0FSaXJBaWdCTWd1QkE0cEtHZWF4S2dxYjBB=-w200-h112-p-df,The Daily Beast,,By Emily Shugerman
9,What I Learned on My Date With a Sex Robot,,"May 13, 2018",,https://news.google.com/read/CBMiZ0FVX3lxTFBwNHpVbXJlc0MzeFpDNTFzNlNhY3FhdFBMTGN0ZzQxRkkwMDh6OFEwcklpOS14Ykt3OHhOOF8wUnBjRDRpT3hMb2JxS3ZSRWR0UU5XZ2hScGluRnQxYzNLZVBSQkVDdTA?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNWZZbmhSWWtsQlRrbG9ZMDk1VFJEN0FSakpBU2dCTWdZaFZJeHRKUWM=-w200-h112-p-df,The Cut,,By Allison Davis
