,title,desc,date,datetime,link,img,media,site,reporter
0,Video: The Uncanny Lover,,"Jun 11, 2015",,https://news.google.com/read/CBMihgFBVV95cUxPUUpoOERpZ1Q3bFhHZFNrZGVsejM2Mzcxcnh2dFk5aGlqMHZXa3lXXzVlYUV2VkhpbVEtYmlndHU4YU4yT3NJNklZbm5LZ05WVnBoeVdIMUg4TzNJRXo0cmFzYjFGZUlOZzhqRTJzWjROQ0o3RjdTR0xoV19BMGQ1R185SWxUUQ?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNW1UMUZoVDFod01tTlZlSE0xVFJDM0FSaVRBaWdCTWdhcGRaTE5LUWM=-w200-h112-p-df,The New York Times,,
1,Sex robots: Pepper the robot's contract bans users from having sex with it,,"Sep 23, 2015",,https://news.google.com/read/CBMiYkFVX3lxTE9DeHN0WnV4YmlsMHNLMWFIcmg2MlhYeVZhZ1g3eGluNXh4YkpVMG5HNjMyQ01naENGeGN4ODFfdzgwWTdMcV82ZXNxeUYtd1BKUkw3MFVYa3g4Q0NHUWhPWEVB?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNWhZMlIyYUhGSFpWODNUbHBpVFJDVEFoaTNBU2dCTWdhSmNJenZPQVk=-w200-h112-p-df,WIRED,,By Ruby Lott-Lavigna
2,In defence of sex machines: why trying to ban sex robots is wrong,,"Sep 17, 2015",,https://news.google.com/read/CBMinwFBVV95cUxPZnhCaG5IVC1xQklMcE9Yal9EQy1rR2Y3SHJoczNkQlpwSmN5am5EQnhaWlM0cy1lSmJhNnZjSEE2bDVCMFhIcU5ndm52MU9NTWliNDFKVWxQaFVFX1VZa0ptTUMwYmUyeGE0cTJYd1Q3ZlUxeEVLa1B0U2FQMkt6ZmI1R2NRUFRzX2xFR1N1QVZMSWs0RjBSRko0cngxWmM?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNUxZbVYwYXpRMmJVVjNhMWxwVFJDZ0FSaThBaWdCTWdhQllJNlBwQWM=-w200-h112-p-df,The Conversation,,By Kate Devlin
3,All hail the sex robots! Margaret Atwood’s new book explores how tech meets human fear,,"Sep 23, 2015",,https://news.google.com/read/CBMivAFBVV95cUxNYW1rdE9aQ1lIUjlMMTA2WnpHdVh1QVctTXgya2FoSGZ3VXFUYUhoZU16RndSY0lLWkVXdXlGalhWSTNTZlJHRmFJQ3QxVW9PQUh6M0NnUUVxMDZmeXpNN0pfLVFGTzR5Z3o3emlZQjk3ZjBza2U1bnpKU29GSUp4cl9jTHJMQkphdUZoNEVwY09Uc3hsUHU4NmJtRHZVd2RfRzRRRFAxQWhxdDJNXzI3WUwxWkVWY1VaazlNRw?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNTNXbVZFUjA0NVRIVjNUVzU0VFJESkFSajdBU2dCTWdZdFpZN09LUWc=-w200-h112-p-df,The New Statesman,,
4,The Sex Robots Aren't Coming for Our Relationships,,"Sep 30, 2015",,https://news.google.com/read/CBMirAFBVV95cUxQR2JNajZ3S3RfRHdPRkpvTElvTVk0T282akxwc0FEUElGZmRlc2Q2M2VWcXVTdk5ua3JDb1IycWFVbVk4dnV2M0ZzdG9EWnl5dXp6OFkySVFQTmhUQ0NQS1ZfU1Fmd0JNOEVXRkpLdnlXTU91OE1PUDJ6a21RSW4wR3BEckpEVVRodm1xNlFvZm9ULXk3RkFqd3RTdEZSc2VRbmtTTUdYWUc1MWhH?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iL0NnNWZjV3BDVkZOTlUweGhhM2RZVFJDb0FSaXNBaWdCTWdreEE0cVB1U1ZGNUFJ=-w200-h112-p-df,The Atlantic,,By Julie Beck
5,Ethicists start Campaign Against Sex Robots,,"Sep 17, 2015",,https://news.google.com/read/CBMinAFBVV95cUxPM1BMRVhQQWVzRzRHcVZkS0JUVmhGQlBRUFpFWUJXZFZOUmdzVU91Q05SNXF0NUdTc01SajNxVEtmQ3FHZnBESk11VVZQWkJheGt1ZklwSjFIY1pwVWpEei1FQjcxcm94amxzN0plc0x3UmhRMDB3ekRka0huai1qNUdkYVhvcFcwLU1CVjRQNjRENU02MC01N1kyaUfSAaIBQVVfeXFMTWx3LWVJUlNGc2swNEhpbEVlX2FFejFIS0R0azJPS2JHT0dZTGE3cFFfaEktaE1ZX0kwUWFlcHBpT2FUaGJ0R19UX2VMTzJ2UlZqMlNsQzdULU5mOTMwdjFnVEU0bXg1MmJwZHNrblBwYTA5VkQ1N2J0U2hCUUZjbW50X3JIQVpUd1F2Q3NTTTBnMkV1eGJKSVFEaVptY0NqRTBB?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iL0NnNVlOMGh6V25kakxXOWtUVlZQVFJEQ0FSaURBaWdCTWdtNUlZeFJ1ZVUxeFFJ=-w200-h112-p-df,Business Insider,,By Marie Del Prado & Guia Marie Del Prado
6,Richard Herring: Robot sex is not at all sleazy and shouldn’t count as infidelity,,"Jul 29, 2015",,https://news.google.com/read/CBMiuwFBVV95cUxOSjh0T1RMSDM2b0dEaGhsODRUV0d1NjBsb29pcF95SXQ4UjBlWEs1NXFDcDI0YlJyUGVxejdSajNNd05maGhjR1VVVTFlcjhET0syMFhPVjJhdkJuRDBFQ0QwX0cwdkJfbWpKcFp6LV9GY2o0bkZSZXh6Nkd1dlZFRkNJMmF4Vy1WZ3lQZGFJSDk3RjRLMmQzWUtYc21pS25yaXJIV1hjSTVRTnZBMXRXenVSN21OdGYtUk4w0gHAAUFVX3lxTE9hMUh3ZnZUM2F1b3lMYVJhRldRQlYySXlKb0c1a0NJQTYyb3k4bnZnVk52QmV3Tno2WndsLU9UM0l0cnU1WHRUWmltYWRYUU9fNi1rWUZyWi1kLUk4TXpieG1GWHlaeEFFUnRscVdscVFkT1ZOczJBMGpmRnhrdVpuZEplbVMxVUZENjRxR1h4WWVTbmtucTZDOUc5OGo3ekx2UWgwMmQ2bGNqZk1fV1U3U25VR2JYSnpwZ05CYWZJYg?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNXlNVGQzVEZwZk1DMVFRVFZrVFJDTEFoaTlBU2dCTWdZUkU0Yk5rUW8=-w200-h112-p-df,Metro.co.uk,,
7,Sex-doll maker tells The New York Times why his forthcoming sex robot won't be as realistic,,"Jun 15, 2015",,https://news.google.com/read/CBMiswFBVV95cUxQZUNjSTRMcnRfNXg3Qk9zcmczRjVJQTJ2ODZJdEVRYWl5RWl6Umxsdl80dkdxT0ZHdXFGb0ZwaElTUU9uUUNpdE55dE1VWG9tbkMwekFMRDNQMDAxTUhQSWxvVEFRUUZYeFBOT1BzejBLNThhN3N2RUl1QzlFUzFxZm85ZXR5cTlFbS11cXhvMU5CQWZLTjRsbkZKN3N6RzlEZVRneEF1dm5FYUxwR2RhbF9fcw?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iL0NnNVdVak5JT0VOdVRETk5aRzAwVFJDMUFSaVhBaWdCTWdrTk1vNW9saW85NmdF=-w200-h112-p-df,The Week,,By Peter Weber
8,Campaign Launched Against 'Harmful' Sex Robots,,"Sep 15, 2015",,https://news.google.com/read/CBMilwFBVV95cUxPTmxLcGI2VzY4RnNubk50OFM0MGdWXzlJWWRES2xxeXpmcnd4N0NwQ3dCempVNlpVSXRUYm9fMDZDazdpbDd4b2hCUWcycXZPcU9tZkRPeU5xREdVcjczMURCcFoyRzJwOGE5X0drX3VCXzJBaUJ2VTVxN3M4UjRETzR3WkZFSDQ2XzJRTDVuYXFZdTc2MVo40gFWQVVfeXFMTmFqd3pwWDhzMlhmOFdtSWdMSGhiSEx6ekxRZ0ZyTk5mcFFNWFVqTHloY1JneGpfQ2xnajhWcHoyX20tckdjbFhIb3JmU3N4cks2cFBHY2c?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNWFjRXRsYVdaSFIzWk5RekJZVFJDM0FSaVRBaWdCTWdZbHhvYnNRUVU=-w200-h112-p-df,NBC News,,By Holly Ellyatt
9,"Futurologist: By 2050, Most of Us Will Be Having Sex With Robots",,"Oct 2, 2015",,https://news.google.com/read/CBMiYkFVX3lxTE9pVTNRdGo2TG1KMGVONG5zd3BHNk5yLUQtTVpnZVNRYjZqZUxpeEdCWTVITWgxTEVFeUllQjlSME9HRW92UlZmVXlCcm5FMGViRlJpM2s0X1VNdTljaGI4OHhB?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNDJiMkU0TWxOcWFqZFFUMVJVVFJEQ0FSaURBaWdCTWdhWk1aWUxJUWs=-w200-h112-p-df,Inverse,,By Ben Guarino
