,title,desc,date,datetime,link,img,media,site,reporter
0,"It’s 2023, where are the sex robots? ‘They will probably never be as huge as everyone thinks’",,"Jan 13, 2023",,https://news.google.com/read/CBMi2AFBVV95cUxOZTgxeHNuZEQwaWdkVFNETXlVRC05Vi1ORk1sNFIyYzZNeVR6MVJhdEU1N29FaUpqMXl2SnJIekNCdmk5YkNQWDNvdjhFaUZGUVpaTzNMM3VLdFpyaFF4SWMyUDZGSGQxWVpSbTNzSE9hR1F3Wm9Ld242c05XRUNpcnFhR3lsRGc3Y2pLdkNhX3NKcXlSM00xNlBQRkd6enpkU2VBZmFxYWlFUFpWVDlvSVBLV0hHa0ZzZ2NFTy03b1d0VWJxQklaUXJfTkhkM1N4ZEltaURjUE_SAdgBQVVfeXFMT1YtS3NCTkx0TXFBYlFGeTJqVmZvWExEYnlqYloyMHE5SFVkc0ZJb2dDb3V4UUQ3N3FXa0NmYUdKMVhpM3pQMG9IaXpTWXNLQkJkc1pqM28weTdHR2U4ckZKTFJOTmNlTF96dlo4WDZFU0ZqX1p1Tm4zd3hiMm1iTHFIS2tiSVlnc3dUOThZNEt4SFRJYzFyV3MzdVNyWlRmNFM3S0x5SjNpSUhtSHdCVWJfdmlEOUdjM0wwZFhHSXRFOUZKbWJwZFZMVWQ3RTdZVC1WY0d3VWd2?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iL0NnNTNiWFphUzJaeVZsWnpjVEpZVFJDakFSaTJBaWdCTWdrcFFvRFFZS0Z6TEFJ=-w200-h112-p-df,The Guardian,,By Tory Shepherd
1,Rachel Ingalls Considers a Fix for Marital Ennui: Sex Robots (Published 2023),,"Jul 8, 2023",,https://news.google.com/read/CBMihAFBVV95cUxOeGRaMTZKNGVWMW1vQTJ0WE1KOEhxRjNlb1RQM3hfWjgwLUdadDMySVFpR0hPQTVaOWxFelFVaHNTMUdoTVAxNVAyYXFnbzYzTWpCMFNLVzduSTk1Q1MtZzlTVXBVcERaN0RtYXM5czdfVXhVajFqNUlHTWFiSmdta1ppdW8?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNDJWbkI1U0MxTFNYbEljWGQwVFJEM0FSak1BU2dCTWdZaGRZNnNyUVk=-w200-h112-p-df,The New York Times,,By Audrey Wollen
2,Do AI Sex Robots Require Consent Too?,,"Jun 30, 2023",,https://news.google.com/read/CBMiZkFVX3lxTE9LRjZJNEdLa0o1R2ZqT0Y0bmhNQjdWQS1KU3k2djVZRlkxa1JLM3ZpTC1LQnJ0WWgyUHQ3OVVwSGpqclZDdG9lRzBfMnE2NTlWekFJNHRfWnYtdVp4SV90N0ZhRDEtUdIBbkFVX3lxTFBxQ3lqTDdWeW1TdjdlN3lyeC0xT2tSbkNnNEZPWnJPSHExUlpHZHZkRm5mYWtNNXpMQ0VCMlpOVzloanQzcXB1eDR2QmYtamJMT01kb3RDZlNtQzZCbVRyVVA5N0lGei1GQm1OSWN3?hl=en-US&gl=US&ceid=US%3Aen,,Decrypt,,By Ryan S. Gladwin
3,Interview with a Sex Robot,,"Mar 30, 2023",,https://news.google.com/read/CBMif0FVX3lxTE43YnNpMFNxSVNmLTEweGEwdG5JM24zanExYlktT2R1UlNSNWdJSnpMYzQ5SU1ydzlrdGQ1bjFCTlBSQXVEWDFoWkxpUVU4RmkwSjJuSjdGWDhZUUVpc0phRnVXTldVbTcyS1hZbUl0aWoybUNXVUlCMGczRFlkR0k?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNXZPV2RCV1ZGcGQxWjJNemc1VFJDb0FSaXNBaWdCTWdhVkpZQUtJZ00=-w200-h112-p-df,Catholic World Report,,By Nick Bottom
4,Ex-Google exec says AI-powered sex robots will seem ‘alive’ and eliminate need for ‘another being’,,"Jul 18, 2023",,https://news.google.com/read/CBMitwFBVV95cUxQVURWdnp3V21wX1dkUERsU2d2NlNrc2Njc0lxTzN4TlBiblZ4WjdKcXJVdE1Bc2NNazN1QUFvQkwyZmhtakMyaThqSnlqYWl5ejNDdFh4X0Q1TDFMSE1pWnBEV2hRRGh3UFpZQmREbTQ3WXNOTEd2REFRY0sydDZyNUFacjE0Z2c5RGVGci1IUXlMLWtGZmJVelRJWlRCZnlBaUVrMm4taHBNeWdUeGdqUkMxdmJfd3c?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNTNkRGhRYXpaTE0waHZlSGRrVFJDM0FSaVRBaWdCTWdZSlJZU3ZwUWM=-w200-h112-p-df,New York Post ,,
5,Courtney Pauroso’s one-woman sex robot clown show is a live comedy trust fall,,"Aug 8, 2023",,https://news.google.com/read/CBMiogFBVV95cUxNaDJmY0lNUEg5dDlJajFYWFl3YlBwLTlnczRoNm1kRVNMWDFUZ05kbWdIeUVQQnJSd2NqVDhmN0JSRnRTSVFWVFc2cDVFdGZyZ2FBcHUzV2syYmFrY0VBZHh5Y2QtQlYyLXRsTEFwYnVQWEVkbmFjZWtRLTYxdDFIbUlLVl9RT2s0R1FZTlBYYWFidW9XOWxGNXZxenI2X2kyclE?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNHdjak5oUTBsTlVXbERSVU5vVFJEQkFSaUdBaWdCTWdZQlFvTE9IUVU=-w200-h112-p-df,Los Angeles Times,,
6,"Morgue worker ‘altered’ sex doll as he returned to dead person’s home, Nebraska cops say",,"Oct 20, 2023",,https://news.google.com/read/CBMigAFBVV95cUxQYW1mcmZBWnJoT3JyODlRWEV4T3JvYUNMZU5lREhBUFdXOFVSMXo3ejdVWUFYYzRTRGgxM0V6RlR3R0stT2VwaDV5eUdqME5BSHJaempQTkpwUkVlM21lVmxSejFxdFl4ODJUMGE5R2VFMElaVHNsN29VNnp1bE5lU9IBgAFBVV95cUxPX0FwMGYtbURYQWFCTFA0NWVzSEVDZmMtZFBuSmQwMmRwQ0J2enlPeld1WllvYnY0T3hfNU9ad1JvWThTaG84ZDg4c2kwV0dJb04yY0JySlpBZjVVUzVsV1czbDcyeHozQjFCd091YkZwUXV3ZGItbGt2RU5zYmZFTg?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iMkNnNDRVemd5WDBVNFgwSlNjVTA1VFJDVEFoaTNBU2dCTWdzQlVJZ0FzYWE0aVJvbVhR=-w200-h112-p-df,Kansas City Star,,By Mike Stunson
7,Meet The Defiant AI Sex Robot Starring In A New Action Thriller Comic,,"Oct 22, 2023",,https://news.google.com/read/CBMivgFBVV95cUxPaGZocUNnWU1EVU9lQ0Q3QUVJaEJDQ0ZicmQ2Vy1TWjJQUHpIMFZjeU5tQ2FkcG8taHAzQmU0M0wyOVhaUC1OSlBGUEFjQ2VFcG5fbUxuS05keEwzbEg2NTBXYU9RcU9ldG0tVTBzeklWZ2FGQTRENDFKc05ZNnFuN3lfOWV5WlFjYW5BT0QwdVBGSTVNMURmTGQwME9tdzZFdjF3MjU2Q3JwRjNaNTN0dlZkOGVZNEZUZGsyTUFn?hl=en-US&gl=US&ceid=US%3Aen,,Forbes,,By Leslie Katz
8,Inside world’s first cyber sex brothel where customers can pay £228 to romp with sexbots & VR brings kinky...,,"Oct 22, 2023",,https://news.google.com/read/CBMifkFVX3lxTFBTc1NyRmx6LXE3aV9nMDVVR2IzOVlUcUNsMWRkaU9Gd2wxV3F5ZVhzdDVSZ1hJRTBsRHIwd0piQzFqdUNfdGhzbHJZdkVkcGRPS0ctbjktLTBhYUZnRXBaOGxMbzRNZkFYQXlJWkVqaGlucDh6ZDN2WTA4eHk0QdIBgwFBVV95cUxNNGFCbWVzZks0VldBUm5lclNMY01zQVh3SFRBV2FzbFNxeWpIelFNY3JGaWZqNkowOGEzbFhUQ2VyVy1IRktyOVJSSXVZem9hTTNDYlZZTjZnREVKanY3ZlotUExGODdfdEIyNUJFLVlxY2lyd1l6RnR1bXpEX3R0bGk0aw?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNUdVak16WlV0NFV6UlpkWFYyVFJDb0FSaXNBaWdCTWdhaEJKeHJsUW8=-w200-h112-p-df,The US Sun,,By Georgie Culley
9,New research shows sexual arousal leads to a greater willingness to get intimate with robots,,"Apr 19, 2023",,https://news.google.com/read/CBMiuAFBVV95cUxPY1kweDJtNndEOGZjSFEtWXlmNXhPOXpMcWNHaGpueUVwU2FERHNmd05uYnB5b052NkNLaVFGSWl0Z1pLSmpfaXJ4NnRtbC1fNHhsTzhaZmhHYUFOSEVWTkY4MlVkTmZDcTdGMU9jMExjUVY4UFBrel9ERkpaQzVpSXhHcWxRMmR4MzM0dEtNcEoyZnpHS1BsWWRBNDBaamRucW9aZkFISmVtUWduRUp2aU90ajY4THY1?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNTFRVGh4YjFkc04ySndRMVZTVFJDZkFSaS1BaWdCTWdhcEZJcU9GUWs=-w200-h112-p-df,PsyPost,,By Emily Manis
10,Google executive warns robots may soon replace humans for sex,,"Jul 23, 2023",,https://news.google.com/read/CBMiqwFBVV95cUxPbTNJSlp2ZVJtR3ptYnB0NEtZVmc0R2JlRDZxRExKV0xKNlk0X01HaF9seFVwVzFZcXlQWGg1clZMOXVVYkpfZ25wZjh6TnlfM2dyVGRUakdmSDB0OElGN3hpb2J6VE95elRZZlV0ZzdLeEU2M2wxdXN6alBZRVdENHlDS3BzLVh6Z2lCT241Z1p1U3hJOW5nbHVvVnh2M3JhcG1kTVJFXzRFdkE?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNUpVR051U3pKUGJWSkhjMmhGVFJDb0FSaXNBaWdCTWdZWlU1QXBKUWc=-w200-h112-p-df,Interesting Engineering,,By Loukia Papadopoulos
11,"Robots, Virtual Intimacy and Sex in Space. Is This the Future of Sex?",,"Jan 15, 2023",,https://news.google.com/read/CBMimAFBVV95cUxOdjN0YzlkNU1odjdUOXk1YThuSWFmU2M2eDJKSVJ2LXUxMlJBaWxyQjlsQjRhR3FWV2s3bXloc1hvc2hxWU56NklibS1QNW1ZdnVPQ0dZSDQ3d0pSVHRfUjNKZUNSVlo0OXFQUzNIWlVnb1NHR3pudlNmWUsweUhyWVd2YVM5RlpROXM5OTRTR0s2eUUxakhoNA?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNUVORTl0WjA1UFkyeG1NM1ZaVFJDM0FSaVRBaWdCTWdZQlFJek5zUVk=-w200-h112-p-df,The Swaddle,,By Ananya Singh
