ID,title,desc,date,datetime,link,img,media,site,reporter
“Better a robot than a real child”: The spurious logic used to justify child sex dolls,,"Jan 8, 2020",,https://news.google.com/read/CBMikAFBVV95cUxPaW9qMlRJSVdYTFhXVm83aXZIWHpWQXB3a3VHYVh3MndwazJZOWlaTFhLUUpQV002cHVtMkh1S3l2Rml2VHh6R2xuT3ByUkFBdE5ENGQ3S3BVN3RIVWFWUDUtejAyS0RyWGk3ejNyUHJfNzBxU3JvUGdRU1hpU2NaV0pZcWFrSmVZX0hkZGxDdGs?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNXdaMmhwTkRFeU5tbE1kMUUzVFJDb0FSaXJBaWdCTWdZaFJJaXR0UVk=-w200-h112-p-df,ABC News,,By Caitlin Roper
You can buy a VIRTUAL sex robot right now for less than a tenner online...,,"Jan 21, 2020",,https://news.google.com/read/CBMivwFBVV95cUxNd19XWFBhdHlJbmRjZ3JDSU5yN3FfRDB0ZUI5cFh5c29sMHltN2RPRHZ1c2dndjlkVUVCY004UHNtbTdlWnhPSVo3M2lxeUhLdDZqSmhhbnhFZ09hRHBJV2kwTkFYX2NoVVZVdGRyUTZMZjRRUXZhbHNrM2Y2T1kxUGFEWDdTcFJ6MHcxdTN6dkJiVzVfSmR6MGpKSkVnbzhjcXdtZFRrNnlPWDBfZEY5ck9McHV5VkVkVXVIYi1BUdIBxAFBVV95cUxPdXZWcHFSLVEzcll3VlpyUThlMTE0bGpGMW1wZmZ1MXF1OGhXWkYwenhmSFpZVmc1eXFTeVhHNWlnTzkybVMwU00xMVZqa2VnTElSa3pLTS16SmZhRVREZUdBbFFadzFlUE9TaGlTZ0s2TWJQSTlKYllYYVBpY3FhczR1YmNFU0tmM05qNThKNHBsaU1JM1ZtX0dNckpOaWZDVEt6VmZVTHQ2TTJnM1BSU2JjMWdVNXVybjF3R0d4cXJBbEhn?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iL0NnNVZlbDgzZUhKMk0ybFpjV0pvVFJDb0FSaXNBaWdCTWdrTlVwREdMbWM5U0FJ=-w200-h112-p-df,The US Sun,,By Sean Keach
Sex robot rental service says its dolls are 'cleaner than any person',,"Jan 13, 2020",,https://news.google.com/read/CBMiigFBVV95cUxOdmJsLTJ6R2hDMXJFVUI1Z29qbkw4Z3VNYlFUcHpwRzg3QVpzN3Q1ejlGeWk0LVNwMWR2LWxxQXRUVjZmUkZDWUU4aHF2REJZa0NpMHVXSk9uLVJ0eW5KZjhWMUFiNDJtbzlKNXBfUkFjczFpM1NZVVc2VU5ZUm5OaUFyWXYtNzI5eEHSAY8BQVVfeXFMT2hNMlp1R3dkelpad0NhWVBBelhMRGtaUm1YbDNndHdMTmFCX1ZsYVVpRWIxTzJKeGZPdFpRbGFOVTJqYl9MRnZGbHIyUXEzSlAyV0hXXzl0ak8tYWUtSklQVG9NWUdTOV9mQmVOUGViVnlqRFR0dllPSWRuZzFtelVhakhzenpsQm4zRHpMSjQ?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNW9kbkpUU2pONk5qUldka2xtVFJDM0FSaVRBaWdCTWdaRllwVDBKQWc=-w200-h112-p-df,Daily Star,,By Michael Moran
The second wave of sexual technologies is here – and it’s redefining how people experience pleasure,,"Jan 3, 2020",,https://news.google.com/read/CBMiyAFBVV95cUxNbnJEWWU5QkEtSnRsZjRBTklFb1dYdUI3SDJ0TDJTa2hnUUJUakxGbkkzbnowN1NMU3BRTHZSQzViNDJTM2NqZi10Vlg1ZVl3WkNuN21QbjlvdGJKWlhHTUlWOVM0N2JfYVhRUngwVjRUendxTWgzZm50MGdDdTJVZElOUi12Y2drektkUi1qdEFlWWNUc3c3T09qQmJka3NNYk4yNzRJVEVWSXRnMklyM3FlbF82Z0NBVmR5aHVzTTlKYnozbFJlQtIBzgFBVV95cUxQMGJaZWw2U0JkM2hmaTJYZUo1bG9zd05DX3Q1dnliWVZaa3ZrcEx6SHYtZFJXdld3REZmdHhoQ2ZydzNybWN4SUk5MnliUzZuUVc5MVNnZ0x2X2FveUhCa0R1V0N6TU5reGxDdmJJaU9zeXBTcXFzeFNSZ2EwVzJwZWJJQ3JFZmlSZEJGSnYyOWdoSHB6OERNSzgxYjZkblBoc0Q4dmhlajdrTkVDWmdOeW1nRTdWREVJUF9ZNDdFb2ZRUXJYZ2hWa2NIaXpiZw?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNDNlSGc0Ym1GUlZtZFhZVE00VFJDakFSaTJBaWdCTWdhaEZZRHNIUU0=-w200-h112-p-df,Scroll.in,,By Neil McArthur
Sex tech from women-led startups pops up at CES gadget show,,"Jan 8, 2020",,https://news.google.com/read/CBMifEFVX3lxTE5pWF8tN1h0VUplN2ZxRzN0LW1TazA2ZFdlSV9vRnNwVDVNVERheFM4dXR0VGNQQUY2M2hxOUFoTkU1OEtPU2lGMDYwd3NuYXBtM3ZiNHJ6UlRrR0hKLXowRkFZdXZjaFlSbWxNNl95VkNaZXdFU3JmRHFMQlLSAXtBVV95cUxQSDhHSVNXS2pXbEtVSXpFY0hrT0hrRGZSeWNCenR1dTFIRkhyMmZPSk1Jc2xKdGItaUluNWI2c2gwMnplYkZBYTlKUXVlbVJFZW04czlPUG5NUXgyWG1qRDBDdHFXYnV6V2tva2Z3czNBcEhuYmFWcVkzV2M?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNHlObEExUlRaNWN6SkRkRmhPVFJDM0FSaVVBaWdCTWdhQlVwQW5KUWc=-w200-h112-p-df,Tech Xplore,,By Rachel Lerman
"Calgary has a sex doll rental service and, yes, they clean them",,"Jan 9, 2020",,https://news.google.com/read/CBMijAFBVV95cUxQQTlnYklhSWc1bGtHWFFjWEJ3MWFUNXV5QWNncE9qU3VkcUlaeXFpYWlHNUhIN2RUNE5UWFBnaDczM1JGSFY1Q1BzaEM0cHVCVWw0LUhsMFRnbmVSSVgzdVNtS1ZNYjhBZkd5dTd1cjljQ3hlWlJEZzczaWhBbmx0S0YyeDlkanVBcmZNZ9IBR0FVX3lxTE5HUU15bm9Uc3JPTUlTRGdUTXRzQWJKb1B6ZEZsU2dvUURPZTQ1allOS3dLZFpOVV9ocnhTTk5MVm5nM09adEdn?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNXJielJGUjNKdFNWOVRhbFJPVFJDb0FSaXJBaWdCTWdhcFE0eXRLUVk=-w200-h112-p-df,CBC.ca,,By Drew Anderson
"Sex, snoring and endless loo paper: the gadget show catering for your every need",,"Jan 9, 2020",,https://news.google.com/read/CBMi1gFBVV95cUxNay11RFlkNEkyOEx3RlVBOWNTWlBYaU5tMVNkV1RaZEZtbUFTdTBDcndfNEZHMC03YmgxTjBaVFY2cHd0eXpmSHNwWUU2dU1kU0tRZnJKWUFmeklrckxkQ1hqX3NtOU95RDNvNWtrOXVKYmJ5OFpPa3RYZEpyQ3FuZU1RcHJvWU42Y3RFSENWTzdMN012MEF2SHpkbzAyUjV4RDJvUXoxckU4TURCMWlZNVVKa0pueDV0NE5UTEN3UElmMHFiRkhXcHQ5OEphNF9qallYMnVB0gHWAUFVX3lxTE5PQTBIM3RqVnVrSlp4TmExbDVraEhVNEkwRnBOMlNnTTRXRmlBNmxQSVNRWVY2WFFnLUxCWDJ2b19NN3NQakIwaTh5QkhmRnNaS2JScnA2aThaeDhYMmIzaHFUUlA4clVJa05SUEYyaW4zU2ZSUGxBcGdsbTdlWTBZTVg2bWZPTk1OUkdDWlBWbW9UcGxEeXNOSDJmdnQ3bnJoQUVqS1ZuLWJMZzVndmlFaG1oYkd4RVVRQzZDd0ZKSEgzQjR1RWRta0h2X3llbURrek9VWlE?hl=en-US&gl=US&ceid=US%3Aen,,The Guardian,,
"No, trans sex dolls are not empowering",,"Jan 20, 2020",,https://news.google.com/read/CBMigwFBVV95cUxNOEN1R00wa3BkcjVRZU1lWi1WRE5sZy0xbmVNTGlpMWZISFNIWm1UQjJ5b1FjMUpKN3pBVl8yT1J4NWtxRnRVcnpOR043amtGWC1TMVhzSWt4NDZLRkRnbXpIS0dhN1lEb1RXSzdtRk1HWXlMOXg3TWlUQWFic1ZBWHNkaw?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNDNWbmxtYm05MlR6WjNWVlJEVFJDb0FSaXJBaWdCTWdhaE1vYXVtUWs=-w200-h112-p-df,Xtra Magazine,,By Alex V Green
Langley home to new life-size sex doll rental company,,"Jan 9, 2020",,https://news.google.com/read/CBMiowFBVV95cUxPNXBGTGtPWnBScEtwOWJGMkRDLU9JcGstWTgzdV9FM0R4bFR0d29TTEdpMk5WbU9OSzN5WVRVUUtROE5aN3BPZTRKWnlNMTlDWVc0b21vQ3FCTm1rOURVb01CSWhnd0VRaUNsNWVyZEJBQVJvMjhEN1JNQXRIV09INUhQUGFvYzhSSFRJOTBMbl9WUFpJQXNnUS1ZZmJ2NzI4N1Zj?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNTFkbWxFTnpkTmRVTlVSME5EVFJDM0FSaVRBaWdCTWdZbGRZck5OUVU=-w200-h112-p-df,Aldergrove Star,,By Joti Grewal
Are A.I. sex dolls the future of intimacy?,,"Jan 5, 2020",,https://news.google.com/read/CBMie0FVX3lxTE9uMzRra0paMEVnTWNMM1NOZDJrSDBUaUs3NXRXYVJ2RXVDdUdNNmI2THd5TUNGajhkOTk4Z0NFam1FV3pfX0RtcUhyQ2prYmpONTJqSWpEbVdhajBtNmpzTFdYVjdaamluMk5GeGZ2SFYtU3lPdzBPYXJVdw?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNUtkV2hqWkVOME9URk9UMFZOVFJEQ0FSaURBaWdCTWdZcEpaU3RtUWs=-w200-h112-p-df,Toronto Sun,,
