ID,title,desc,date,datetime,link,img,media,site,reporter
Jersey Company Invents “World's First Sex Robot”,,"Jan 11, 2010",,https://news.google.com/read/CBMilwFBVV95cUxPaTF2bXlOSWR5U3VQNHYyVTZMb3RjdXN3M1V5Y2tlRDFUS3RQcmpfZ3FfVy1fM2Rnci1ycGp5UkkyNVlKeTAxRF81Ynlmbm9oZlZfWWN4QjJXemdCXy1fQXM5Uy10TGVTRjBmYUQ3YUl2U1ZTS1dsY0FhOWRVandjVGxaa2ZVQ0JnUjd2YXpJaC1CRDgta0E40gGfAUFVX3lxTE16UjB3MGFjbE16cDRuNjh2eWlQcm44aENHZDNXdl9yVkVyMnpaZjFLQmxkQ1JUbDBpejhHVUMwRC10WExqcF9hLXRYMWN5RnFVWlRVdncwWUhzNnh1MTlNaWxqSUR2Q2ZFbDlrNGczd1R6cUFXWHMtcEl0WG5MRVprbVBqeVFQd3huM3lmWmRUQzlRUzdDX1Rndk5iLTQ5NA?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNDFXbmx1WDFkdGNGOXVZbFYyVFJDb0FSaXNBaWdCTWdhZGhvNHJ0Z1k=-w200-h112-p-df,NBC New York,,
Firm unveils X-rated robot (Update),,"Jan 9, 2010",,https://news.google.com/read/CBMibkFVX3lxTE42ZVI4NTc3cUdZRkdnS0ZNanExc0RXS1lZeW4yNzZ4Uk0yVGR3TkdzSXRHZnlpMkFYT25zdTFKcHMtVXZBcmM3UnFabTc1bFVKV3JqcEs4TGJWNmZHVXJwaUJmSG5TR3haV0NXNE1B0gFsQVVfeXFMTVhvN1FzUV8wLU52MmhfaUhJSGx6alJHbXhZVUtCcUxuRjA2VEltQktnb2hkVEFrazVyd3lodmZjTmVzY2k4eGdybkVueDZoX083b0lxWUE3RlZLcEN2MGZCTGgyeHltSGpsc1lp?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNDBUa3BFV1VSb05HeDJiMDFOVFJDM0FSaVVBaWdCTWdZWlFwVHFJQWs=-w200-h112-p-df,Phys.org,,By Glenn Chapman
NSFW: True Companion Debuts Sex Robot Roxxxy,,"Jan 9, 2010",,https://news.google.com/read/CBMihAFBVV95cUxNUVc2VVpCU3R0ckF5dmR5eV9icEUwTXlLcXhWQ1dEbWxsTzczVGRid2hiLVRMN2F3WWc4Ry1BQVhfbHdyN0g3LXJtcVR2dElXaWRHTV92OHMxRkJUNklPVTZ3T0F4NWNDc3g2QV9tX1B6Vkd3aXJ6cjJQaFlYZFAtcWU4Ri0?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNVFjVUpEUXpCQ09FRk9RVGxDVFJDbEFSaXlBaWdCTWdZdGxJQ1F1UVU=-w200-h112-p-df,TechCrunch,,
"Meet Roxxxy, the Super Pricy Sex Robot Unveiled at the Adult Entertainment Expo",,"Jan 11, 2010",,https://news.google.com/read/CBMibEFVX3lxTE9zd0EybHptQUtTaV80LTNOcWV3aXp6TUJEdVlnVjJTemZJTnpTdGRybHFoclNuVVVfNTFFakRQeHJMMGx6YldCRFRaMmFmcDh4VXFPeWkzNE9CNHgwdUIyT0NsakhlSnAzcEcxSA?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNXJXVWRtYlVGbVgwNUphemhpVFJDM0FSaVVBaWdCTWdZZE01UXNuUWs=-w200-h112-p-df,Glamour,,By Rosemary Brennan
High-Tech Sex? Porn Flirts With the Cutting Edge,,"Jan 8, 2010",,https://news.google.com/read/CBMimAFBVV95cUxPRkJTTGpNaXB4ejVWR09QaFJuNUM1UndYVU83bFQxelpDRnhaNVVwZ0lyY2RoVUNXU2dUc2dJVlVyUE82T0dHMU9pVjMzRHl0TXlTWV8yRXlOU3dZU2tmV1pXbmJTcnpmVTJKazdEZ3BhOGktcWx5cGt5Qkd4VDJCcTlYM29kRDhhMmt5MmhENHBUMnBZWDVOTtIBngFBVV95cUxPbXFKdFY0LU8yeGdfT2lIQ0EzSy02bHUwN3JzSlpjRjJaUm1mc2R0VzlfeXN6M2ZzUTA4cmdfYlFBaFg5bHNYOHNsZ3JZallkdWpRc1VqS0h3eTFQb2liQ2p4VHNmNm4yXzFjUWtReHE1THBNRHk0Qkl3VzJ6b1BabGlvQXZfQTFnTFFaVmlxU0p1X2s5VW5aQk9zeWhlUQ?hl=en-US&gl=US&ceid=US%3Aen,,ABC News,,
World's first sex robot revealed at porn show,,"Jan 11, 2010",,https://news.google.com/read/CBMimAFBVV95cUxOekxzeFp0VGYyNFJ6Nkl0ZXlvVS1pamRISTVvQzRaN3FTZnFBeTRoQkhyS1RaSTU5SVdaX0M0dGYwb3RlWXJKQWgwcEtBVkJFZE5oWGRXbFRrVFZXeFFscXhpcl9hQmhaRFpnUkFrRWM3OHNTS1ZPQXJ6OUhYYmV4YUI0MTNBLWdkWlR3bXJMYmgwOWttSl8zLQ?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNTBlRFF3WVMxbk9GUkJTVzFUVFJDb0FSaXNBaWdCTWdZQnBZekVQUVk=-w200-h112-p-df,The Independent,,
Roxxxy the robot makes her world debut,,"Jan 10, 2010",,https://news.google.com/read/CBMie0FVX3lxTE92ZnBlbjRYUklWeTZvOVBkUVg1cWpKT0ZDcVcxcV9FQUtQRDd6UnZwVEdqNzB5RXlJRTZHYkV5bzJfQlVlUlVtT3VUQl9YelhNbVNFQWo4UE15TXBoRkk1U2dJVEIwUjBQTF95ZWEzdDdTazd5UFZwZlJTOA?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iL0NnNXdRazFPUkZvM2JGSkdTbmx4VFJDQ0FSaklBU2dCTWdrWkFwVDBHS21TNUFJ=-w200-h112-p-df,Deccan Herald,,
Robot Band Backs Pat Metheny on Orchestrion Tour,,"Jan 28, 2010",,https://news.google.com/read/CBMiVEFVX3lxTE1Kc0pMZEUzYjRvVlRzUEVPWDg4b0JSc3ZLdnBPdV9YM29LSWtuM3lNQ0dVbVFhWWxWbHlONE9LWV9sazJON2Y5NVc0emVjbGx5dFZ4ag?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNUJWWGx1V0ROUFRFOUZXSE16VFJEQ0FSaURBaWdCTWdhQlFJVFV2QVE=-w200-h112-p-df,WIRED,,By Eliot Van Buskirk
Watch This: Full Trailer for Spike Jonze's Robot Short Film 'I'm Here',,"Jan 21, 2010",,https://news.google.com/read/CBMimAFBVV95cUxPRWxxd2J4aVJJdWd2c3FBNndzYXdQbXpIX1BpZEp3YjMzV2NKdWJvaTBQc1p2Zjk0VlBLbzFoYUFsWFFoWlZuQWpDT1Nrei1IUjVlUVhCazhIOFFhQkNZcEJlWnhPTG04LUpjTHVOSllLRi0wMHowQ3M5S2VBam1HN004VEtkd29SS0M2N1VyMGdmU3FLQ0dHQw?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iI0NnNXhZMFpMYzFRMmNEZEliM2R2VFJDYkFSakVBaWdCTWdB=-w200-h112-p-df,First Showing,,By Alex Billington
Roxxxy: The First Ever Sex Robot [NSFW],,"Jan 11, 2010",,https://news.google.com/read/CBMijgFBVV95cUxPRUFMWEdRQTk2VENkRnFaaHZnQ05sU1RlWThXbDB0ZDgtTEwzemNIbk5ZT3ZPbDBrNFFaaGdMRkQ1d0prLXpBdFF6Tm9YQk1MSzRpbmFJZU43QWpUZVVPSlEtdEVVMGZkNEVCdFNJSmtSSmFoeGpHUWp6TVRBWG5FQ2ZXRGktOXBYZVVzbER3?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNXlNRVJIYTNkTlFVMUpUbUpWVFJDaUFSaTNBaWdCTWdZeEpaQ3ZIUWs=-w200-h112-p-df,BuzzFeed News,,By Jack Shepherd
