ID,title,desc,date,datetime,link,img,media,site,reporter
Sex Robots Will Destroy Us,,"Jan 11, 2021",,https://news.google.com/read/CBMibkFVX3lxTE1adUdVcnNtWEhzcTUyYmx3WHptX2F0NHRZZmpVZGZtc3FmQ1hFcW5xb3pHQVNRZFFMckxicExHeWk0VHVJN3RUc05kcEZ1U1JFWl9ZcVgzYlgteVpQNjVQZkJQbHptWE1DOHJvWG1R?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNU5iRFp5WDFoWVpFVkpjams1VFJDQkFSaUZBeWdCTWdhZEpZTHFvUWc=-w200-h112-p-df,Catholic Answers,,By Todd Aglialoro
Sex robot 'breathes' in incredible footage after going on sale,,"Jan 8, 2021",,https://news.google.com/read/CBMijgFBVV95cUxPejd4ckNpeVNNOE93dVE0RHZwQ2JPMnQxWGNqZU41WkExcjdXNUdEVzZHSnEwODRMbU9UT2NHOUdHbEd1aGFnVlp6TXR1OVVuckJlNTN4MzEzS0Naamhnb2JpbEVpcWMwazA2WnNrcDBaWEk4cENKTGdvWlBtZGFvbjZvZTdmRHdfWEsxZTRR0gGTAUFVX3lxTE1QQ1oxVHZXaUV1Y01wX0hIcURKQmlpeU50TWVxQk16Y2JlU3NhNHY2RE5XTGh3TFdEWURaamQtV0s2RkJYeFE4eGRLWENweGxQdlJUcVZLdW5ybkp3MmFmSEprS0E5c0U4T09iSTdvN1NCbW5BaUJPenowdlJLSjh1QjFUb3dBS2pJbVU4UFhuOVdjQQ?hl=en-US&gl=US&ceid=US%3Aen,,Daily Star,,By Tom Towers
Things We Saw Today: The Dancing Robots Are All Fun and Games Until They Murder Us,,"Jan 1, 2021",,https://news.google.com/read/CBMiakFVX3lxTFAzbjR1YldfUnhmQTNTTmRxSkFtOXRMZVYya2ZDdF9Wc0RteTRUa2puWVIxakdhTFB3YnpaOXpJTWZxTFA3UUtEZ0t4X1drTDV5bTlnTmxoeG5oV1lKRFNESFNTRnJ3MzB3ZGfSAXJBVV95cUxOZEU4UXlMQTJXN2xTU29SdmhGcWEycS16U1VyalJOVEJpV0ZadHYxU0FrVVk2cm5JRV9PMzZnTmdaNE5adUtDUkU1UHd0M3RFelo3bENHYmpCUDQtUlJ6SUFzd2NjcmdFbEtIcml2R0FDdWc?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iL0NnNVFYMHhrT1dwNVNXWTJObWRKVFJDcEFSaXFBaWdCTWdrQmdJeEZPcVVscXdF=-w200-h112-p-df,The Mary Sue,,By Kaila Hale-Stern
'GIGER SORAYAMA' exhibition brings together the 'sexy robots' and surrealist sexual machines of two legendary artists,,"Jan 12, 2021",,https://news.google.com/read/CBMiqAFBVV95cUxQTlZDMGZEekl5QUo2STdJVTVyaXJXSEVQNHZTajg4cXYwSVZyLUxZdThXUU9MdjNUbThwSzdOVjhhSFlZd0I4UHIwMmQ1SVV4T1RhcUloemNLaHFLekpjMy16VXFHcVViRGdLWkFRUy1EYzIwaFNReXQtdHZhUUJqMEZ5bHV5S2JXcWZKQWZVWFEzUUJmcFBkRTE5djBwU0ExN3dZV1lvM3g?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNW1WRzQxU0VkWFNGVkxTM2RCVFJEMkFSak5BU2dCTWdZQlZJYk1JUVk=-w200-h112-p-df,Designboom,,
Love in the time of algorithms: would you let artificial intelligence choose your partner?,,"Jan 17, 2021",,https://news.google.com/read/CBMiwAFBVV95cUxPaVZsU2ZWRVIzVHNCLVZDQmNocFdCdVFseDZVSXlVUTA0U1FKazhWS2dwNk8wOGhRWFBOazliREJfOXBQTmh0RjcybDJwamJRRGE1Y3NZUkhZLXVQMTY5Y2o0WjRmaGF5Vm44MUVTTmFnWHhLSnJjR3g2RVE4UTA4LWY0RGlvc0RxdjV4VnFkd2E4Z0xYaHhoRWJZVGthMHFHZmg2UHo1Z215NmJnZ0pLSXkyY1RVNWRxaFVrSzFwX2Y?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNVZYekE1UkhCUlJsbHNVMXB2VFJDcUFSaXBBaWdCTWdZWlk0NUxyUWM=-w200-h112-p-df,The Conversation,,By David Tuffley
Lisa Scott's Sex Column: 'How do I get him to be less robotic in bed?',,"Jan 28, 2021",,https://news.google.com/read/CBMiqgFBVV95cUxNNzB3ZFgybktjWTRRRWFKLWY0allDdTdDX2RzZU16TFMwaDhvblF4TlI3M3VNSFo5R3ZQOXJQc3lfeEJvNkhDWUc3V2hmMlgza1ZCT2pPWFJVVlBRRk9hNzdpRHZtSmRlU0t6ZGMydHZ4Y0tzYjRyNUJxQkpsX2J3M1Z5WFo2Z2pGNFQ4UGczcVRMZldtUFpPdkdMckxBQXAzLWlxQmNETVhrZ9IBrwFBVV95cUxOckJUSVdxSUk0UGVjenNVM2ZTN0U4LUVNdzY0ZHphNGlSUW9DUFVIb3lEOWpOYWZsd0xHandRQzJmdlhqMUdPTHF1ZWw5bnlaclZsVjdfeTJsTXk4bG1GX1ZUVzAtS3JfSk0wOTVhQ2dGZFR1R1lCRWtjeE5paGJzMDJCS3dDNmZqTkFkREI2UmlvbHlzWE9QNWVUb1NadTRaZ21nREhQSURPRzlxN29B?hl=en-US&gl=US&ceid=US%3Aen,,Metro.co.uk,,By Lisa Scott
Chatbots and the loneliness epidemic: When AI is more than just a friend,,"Jan 2, 2021",,https://news.google.com/read/CBMi0AFBVV95cUxQbkNxTUZZTC03dzNlR3BnZDFSc1BJOHBLSElZN3FKbE1RNEFua1RQVTRoeU1ESHNSYWljWmVWay1ETTNVdE9JSjFTMXkwWTNEWVNQMXZYQjNIYTIteUx0REZndXF4eGh4enlmTUdjTGNRVXRQeUNPWk9XRUtCTTJYbG9FMW0wRnRDazg3ZFVPOVlTNVRhNnRORUFaOTNGbmRXc0JGWGs1V0ZHZThjel9GVVEtS2U1bXFGczM2WHo5b2FsNVlHdGJPNXp5NUVDNXJP?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iJ0NnNWxhelJwTUdKQ01uUkVOV1F4VFJDc0FoaW9BU2dCTWdNSlFBNA=-w200-h112-p-df,Inverse,,By Noelle Perdue
This Robot Plays the Perfect Sad Trombone for 2021,,"Jan 4, 2021",,https://news.google.com/read/CBMiiAFBVV95cUxOOXdFbV9FN2l3bmM4QnRwdlZPcFpfc0ttT0dqUi00MXEzenF2MmNvX3RBa3FKeklaOHNocFRSTnZWYUdOREREbUsxUDBxaDdVbm5zOHZyZHFXdG5zQlZZV2FZZmZxUTdsOG43d2lBTlJuNTRjZkswNGUtSVhyQmZxZThZWmJyTllK?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iL0NnNUNSR05aVmkxSVpHSlFjVkZTVFJDb0FSaXNBaWdCTWdrQkY0cG5JbWFMandF=-w200-h112-p-df,Gizmodo,,By John Biggs
Bodybuilder 'cheats' on sex doll wife with bizarre object while she gets repaired,,"Jan 11, 2021",,https://news.google.com/read/CBMiigFBVV95cUxORGRjb0VpU0VTUTQ1cWYxMGVJUGNZOEJvQ2htdE1HMmp3ZGktbVR3bW1VMUlTbFloeGxuMHF2WWRNRVJ3RUVna1Q3V2VxOW5UckFkMWMxRURlR0padXBGZnQ3VzAwSTd3dWpMY1c5X3dzVmhFQkdmUXlVdDVfS3pwUVM2ZFRQbGtmaUHSAY8BQVVfeXFMTldlUnhKRmpjNUdjUzNwS0xrNVRFbTdkNDhhdzNBZlpZd0RYVkpUU3lUQjhEQi1tQVJzbC05d1U4YmhGdWVXWDZWRE16NlFhbmFsSEx1VDhIdXdnM0p3UU5qcWVzX2RzZUxscUJpMElFVVh1enBDZVZKSU54NERnTHpoTklNVFhKQ1Z2OTFERU0?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNUNaMkpOTkVaWmFuRmlPREJsVFJEQ0FSaURBaWdCTWdZVmM1QklNUWM=-w200-h112-p-df,The Mirror,,By Abigail O'Leary
Man Prefers His Hyper-Realistic Doll Girlfriend Because It Doesn’t Ask For Anything,,"Jan 26, 2021",,https://news.google.com/read/CBMivwFBVV95cUxPWEg4dEtGRkVSUHZjSVR0ZGNGVnJqVUoySG1iQUtGVGx4bG85MUlfaTU4Z1duVW42QWtoaVV6Q2dTRUdZWnR6Ui1DNFZobUs4RTQtenc3dVRSM2t3dndEWm1yY2hTVlcwaUFZMzgzUEVNV1BOUmtvMUdFZUhTS1N0V3ZxUlR5VHNMOVZCTmZhTXFZWE5CM3dBdzFTR0JpcGtERUVnUWJTY1hsNGdCWWxxZ3JON0NtbGhqX0VOdExwcw?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iL0NnNDFTbmRZTms5amRuZGtZbFZxVFJESEFSai1BU2dCTWdrTmNZalZ2T1NoRFFJ=-w200-h112-p-df,Oddity Central,,
