ID,title,desc,date,datetime,link,img,media,site,reporter
Sex robots go to court: Testing the limits of privacy and sexual freedom,,Jan 27,,https://news.google.com/read/CBMiuwFBVV95cUxPLXNhMUxyeHNMRHRLRHI5dmdwZ0RwelN0bWNWNDFBc2dNbVJqNjhkV05nN0U5aFBhaE53aWs5X296Slg0ZXkwZk5TNUM2NjlyMlBPc2hPbmQ1TDU1T0cydWVYN3Naa3NkOWppNjd1dVVhQkh6RkNEanBOeWFiZFJ1cUpZYVB3TmpGWWg1N19JTHZ5ckoydDBzVk9XZWFxeEZEbnA2Z2k3cU1zOTlIbUV1Y21ic1l0amtSaV9z0gHAAUFVX3lxTFBxSFF3cjY3ekFHZU5qeXQyZ0pKNzBVUW1fSFlKdk44Nl9hWld2VWIwS2paWkpKU2RYOTk5Z3NYQ2lQQ3pQcms0UUdOaGhCd2RUSjVFNTBIeTNtcjhHTF9JUi1jcEI1eHkxWnlEQVctOTRMT2x1LVZhNHNsdWlYYUt2Q3NmVmpudXJ0T2xkdWtJZWs5Z1k0SS1Qb2luTnp6R0doUlppZlJMbHNMbWJvTk1ZVFBWaklPRkxieVRrdjRnbA?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNVVUMFJ5V2paQ05XVXRSamxJVFJDb0FSaXNBaWdCTWdhbGRZN3NOUVk=-w200-h112-p-df,The Hill,,By Jonathan Turley
The truth about sex robots,,Jan 30,,https://news.google.com/read/CBMidEFVX3lxTE5VZGxNeWswSVpYelJ3QWRNRzVldnY4aU4xdFN3RzhsWktRYTlOb2JVbGs2eUhndmY3TURfRFFLblB5QzRMdWxuOWNzTFFkbEJNZENqb2hjdFZrMk1nYmtpTXotRTU2bV82bEpRcERLNFFySC1B?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNTRZME4xT1dWclNtbHhkMHByVFJEaEFSamhBU2dCTWdZbGdKQzRMQWc=-w200-h112-p-df,Cosmopolitan UK,,By Paisley Gilmour & Emily Gulla
Kid Only Vaping to Look Cool in Front of Older Brother’s Sex Robot,,Jan 25,,https://news.google.com/read/CBMioAFBVV95cUxOTFVMOXVQMTFJUGh4VTd2NXhTeFBCSGZPbGFmRmdfUWZLVzFFNHdNTTluMy1wcmNSQ2wwSWJxeFlubVhyRUZBTGlldG5KbTZmUkc1MTVtb21PdUZDMVRBcFBXemlveVFuUUlaUldNYjFWc1VadUpTWk1vV0c3REJyc09wNF9JbzVOODRGLTllbW9MbnBlVWlXZGNLQWs0VkY3?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNUxSRll0TkZWMGJFdHRXVEl4VFJDa0FSaTBBaWdCTWdhSllwVEZxZ2M=-w200-h112-p-df,The Hard Times,,
"Bill criminalizing child sex dolls, deep fake child porn advances in Kentucky legislature",,Jan 24,,https://news.google.com/read/CBMiwgFBVV95cUxPcnRjN3Z3UDZxWk5uRUZNeDBhRVptQWh5RXYwMjY1ek5tQmhBcjhqUkRfMjc2X3gtZ1hRa0dTSGN6QV9INFJ2QWoyLXJjNnRZR3U3V3RORUtENmgybGR4dk1sMU1wZVBhUGxxMU9sVEc5WnFiOHFia3U5bWNvNnZCOU5qeEU3SjBDSWFTOVJEZ3M1TEdSV1l5aHdjU0x4dU5aNVlNS2J3blU1eFdabW1jdHNCS0tkNlhmOV9wcjBGUGFRQQ?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNTJUMWxZVDFCYU1GRjFkMlZTVFJDb0FSaXRBaWdCTWdhcEVacU9vUWc=-w200-h112-p-df,Kentucky Lantern,,By Sarah Ladd
Government Employee Bought Wildly Expensive Sex Doll to Promote Kimono,,Jan 29,,https://news.google.com/read/CBMioAFBVV95cUxNVFhETHJSNjNwMDBZTWxjTUt4WkVlanlXUUNSbGlDWkM1YmpnVnlHTllsN1VVMlpLV1Y3MnkwUE1uWGNCQ2htck05SVhTYnpSQnFyTVVmeEZJRVV4a1RZcVlteG9kcDZYVUh6bmgzdl9GRVVrU0x5dnk0MVlPeFhwVDkwbWREZElLZklJdUllel9ySkdnU09kNXN6Nnc3azdO?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNW1iR0ZwVWs0MFNGTXhOVWxUVFJDM0FSaVRBaWdCTWdZeGM0SXh1UVE=-w200-h112-p-df,Business Insider,,By Kevin Tan
Top Robotics Stocks to Buy in 2024,,Jan 8,,https://news.google.com/read/CBMinwFBVV95cUxPcmszUHNFLVJYODRkTnJuT09DLVZSV0lCRmt5TWNSWEViWVhGYWlsQmVqbmdFWnJnU2dsMHk3SGQ1bHV6ZHVwc2VFYlJvM1BaZHdRMkFfZ1paTGZ5LWNSVVRrLVJhU0tFNnRZX1pDQVVZZU54SS1neE9tLS1BM1BuWjE3VmZVLUtXVnhsTTB3VzV5czZ4WXFJNE80MGVvcTA?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNVRRM1pLWkVJeGNXcGlkMUZwVFJDM0FSaVRBaWdCTWdZdFlvNFJwUWM=-w200-h112-p-df,The Motley Fool,,By Nicholas Rossolillo
Meta and OpenAI have spawned a wave of AI sex companions—and some of them are children,,Jan 8,,https://news.google.com/read/CBMijAFBVV95cUxQRXlDRmlWM3N1eS13Vkg3cUpKSmRVUzVOODBPWUlhR29oYmgwM2lxNnJXN3BuZUFzajNBTGFNeXpWTnZicFJteU0wVkRaX2Rzd3VLNC0tWFRqU3B6WFZIQjhwWXpSSDhBZ3VBZldRalY5V3pQUXQybjVuenp2a2ZrTUt5My1Rb1phckhMUA?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNTVUMEpKVXkxV0xWWnhUWGxrVFJDM0FSaVRBaWdCTWdhTlFZSTAzUUk=-w200-h112-p-df,Fortune,,
"‘Grossly inappropriate’: Japan city bought US$2,800 sex doll to promote tourism",,Jan 31,,https://news.google.com/read/CBMi0AFBVV95cUxPZTdGYnhOc0FiTmUzV1Zsc2VabVVxSVlZdnpqX1VIa09mODBUa1VJMWtfSFhJOGhhZkxXSkdtVG9DbWVZX21rUktTa3FmT3Y2d19PbWk3YXJiTms5b0o3aTZpN0tHTFg2WjRPME5jcjlyT2lkV1czWEUtM0Zzd2xiT1kxRlRtSEtFUnNyc0tYd3AzNGZ1SXZHRHVWd2U3dnlmLVNWNVRjLVNWX3FVQXFWSm9WTXd1dFhqRWVBdzdaQTl5bjdmUHh2SDFJdnFkcVkz0gHQAUFVX3lxTE1hWFdZTG9TZ3pKYUhWYVRTUlpHb3JVMzh2VU9pVm5XaWczN3RPbUxfazdnR1RaZlRNYUlJS211Z09OX2R1ZFBMem9ydk5mX3NnSUVtT2pMUlJHTG9nUS1BeTNzejVOZnI4XzUweFBEdGQxVjdZaUZRaUhkRHBlQTdZRnNjN1FkWGUyazdKajJaR2ptalRKWG4zYW5lUEFkdENoQlJLQ1lCN2pqc09ZYnVTaVd3YWV0SHVHTm5odEJtX0Z5VHZnd2FRZXlGMUhGSlM?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNTJTMEZvUm1RNFVITlhWSGt6VFJDcUFSaXBBaWdCTWdhdFU0U09LUVU=-w200-h112-p-df,South China Morning Post,,By Business Insider
10 Biggest Sex Trends of 2024,,Jan 25,,https://news.google.com/read/CBMiY0FVX3lxTFBXVGNMM3YxNVlMN0FJcWVhc1RzLUdhMy1EbThHdFN5Q3dfRjAtbFlRdVc2UnRESEhYMERIYmtfOHJ6cE5DYTlCaTQ5ZS1ibU03WEt4YXZtdEl1Tl9XalZiSXljZw?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNW5jbTFUTkdsaWNsTkNSbDl2VFJEQ0FSaURBaWdCTWdZZFJJNkxJUWs=-w200-h112-p-df,Man of Many,,By Ben Mckimm
We Asked a Bot if Being Called 'Daddy' During Sex is Gross,,Jan 6,,https://news.google.com/read/CBMiggFBVV95cUxNWlZfMnBoMnh0bWg5aWVSQlNfY3FfclBKLXdReElDRVdpNEFFT0FIOENhRm9od0hCanJmUEdJYndKQUNZdU0tQ0lVYXJOWGdvUmJ0dnJMTkhzak1YMlk0dTNkMzdXeVJfQks4X1g5aUlRU3BIUF9QZjlpX3k2cnlIbHVR?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNW9aRXBtWTNabVZUQnhUQzB4VFJDM0FSaVRBaWdCTWdZVkJZb3FGZ28=-w200-h112-p-df,LEVEL Man,,By Omar L. Gallaga
