ID,title,desc,date,datetime,link,img,media,site,reporter
Ex Machina movie review: damselbot in distress,,"Jan 23, 2015",,https://news.google.com/read/CBMilAFBVV95cUxQWHpMZlNwWXFwT095TGdmT2VqT1pLcUdfaXM1d0wteTNxNXRBbVhmRzAtcy1USnUtTnVOZVh0dUREUDd1REtMY0dDZVRpd0FEVkxwSG5JUDJ0Qk05ekUyMzhlNzQ3eTBZbVBoT0wycU9ZYnJyMVNpRlM2WXBndDJrUXA3emNleFRQTU9RMHB5azhoS01W?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iL0NnNVFVSGhEVFZsbU5FMVdOMHBoVFJDaUFSaTNBaWdCTWdtVk01WlJwU2lpNWdJ=-w200-h112-p-df,Flick Filosopher,,By MaryAnn Johanson
What’s Up With the Stupid Plastic Baby in American Sniper ? The Screenwriter Explains.,,"Jan 20, 2015",,https://news.google.com/read/CBMi3wFBVV95cUxOZjJXNWU0azgyeko5QWl1OF9iWEt1amZwYnRzOEF1bnNjWUFwaldENlhFMkJWU2FrNzRaM1ctRGdxVUV6SnJOajlHa1VzbWZtRHJXbGJMR3ROcncyTXlrXy0zSXZEX0M4d0Jjd1NUTVhOZU1VdE1UR2NDTW5HUGt6c0xfVHQyaVVMckpUVHJCQjN3UVk3ZTZURW8tTzlnY1kxNU1HM2c5eTdQRG9mZ2tGTTNvUE9HVzBmUDhucVVCbUhOZUFTQ0EzR1hLQWtHVjZ1dUozVmFtYkFWN1c3RFFr?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNDFhbUpZVjBOemQwSnJUV1JJVFJDb0FSaXNBaWdCTWdZWlY0cEtvZ2M=-w200-h112-p-df,Slate,,By Aisha Harris
Meet the $1 Million Robot You Can Buy on Amazon,,"Jan 19, 2015",,https://news.google.com/read/CBMiiAFBVV95cUxPZVZucXltVnpCZnh6b3JvMU5Fdmg4N1RQVGZjaHl0OXJiMlZhSFFieVBIb2Fsd283d1JIZWgwVVBXNDI2WjctNEZrUVR4QndidXIzbFR0OHU4ZXlKQUdLRHlMWi1ZbllqeFB2d0haWHlWUXRQNFFJZnJxbXBSY2FBQlRZWFZ5NVo20gGOAUFVX3lxTFBoQ1RCTDRRQlVWZnNMZUVFR3JqQlpwQllERUN0YzRWb0tIV3RMQUF3RnRlV3RqdGRHNHFxeTlTd21tdHpQOUI2Y3VMNWtDMl8zLVozOXBqSUFNRWJoSDRiSVd4b01HdTJZVmZuZlloVjBYaFJNV1AxVmQ4bVl3WFkybG1VdUFjYl82d3c2dHc?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNUNXRkY1Ym1vd1FXTk1lRGRXVFJDb0FSaXNBaWdCTWdZTk1ZVEtIUWs=-w200-h112-p-df,ABC News,,
What role does feminism have in sci-fi films?,,"Jan 23, 2015",,https://news.google.com/read/CBMipgFBVV95cUxPZ0xleC0wbHp2QkVWUTJsVkIzaDQ1bTFheDd2LTAxNk9kaHpoSUFWSlNybVpNMzB4ZDIyY2tNS2JSY3JmVXFCZGgzaFN2Z2RJTDFBSURrSklPb3IzYWVteFBleGw0NEtkQ0d4RFhFeEk2MlZxZllCckxHMUNaN2hVQ2dNcVNvS2dnNWI0WFRkZFpmS1lNNDAwZUpkSjVhVGdrc1d0ZU5B?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNXpXVk5RU0hsWk9HdDZhVXR1VFJDb0FSaXJBaWdCTWdhZE1aQU1JUWc=-w200-h112-p-df,Dazed,,By Rena Niamh Smith
A Twitter Bot Is Turning Image Uploads into Low-Poly Masterpieces,,"Jan 15, 2015",,https://news.google.com/read/CBMinwFBVV95cUxNdGxwa3g2NzFWa3dLcmlJQnVvYm4zOUgtdnVyTnpGMzVqUlZSdktpQjY3YXFzTlh0NHFvUUpRRmJSZWFUSWF3TUVjaFp2LXVYcVJMMDFFUFp5c1ZSZVpRTTJRb1E2WEl4eXJTbkxJenFFZGJYUFhaaGduNUhXOUFrZE9Jai15dzJ1YnBGckhBbVl3THVaQWplUG1GVzRNcms?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iL0NnNHlhbGd4YkRGdFpVWnhlR2hyVFJDREFoakNBU2dCTWdtQkFvcU5nU1JWYmdF=-w200-h112-p-df,VICE,,By DJ Pangburn
Ex Machina and sci-fi's obsession with sexy female robots,,"Jan 15, 2015",,https://news.google.com/read/CBMimwFBVV95cUxPWUpITkZYeVBTaC03Nmd3ZGNpTEtHZzdnZUwzQ2ZYam9jdjRkaFRiZDRLTkE5OXFWVG0zcnNybDNqd2VDb1ZyekotQ2Y0SXhTSTI3U0RTdFdPZVp1VzdMN18xTk5PT2RPZzBPSnlLc3g5a0tXdENMQzR4U2hHblJEMDk4Zjd1bUp5QnAxZzdnSjlPNXlfdjRnSGF6b9IBmwFBVV95cUxNSjFiT2dZX2NXekFlUGM4V3JMNzdSNTg4cGxuNENtMFhpQnJIbHhpc1N2Rnp5d2xIdDhjeHd0dERHNnZFVldMal9kUHhfWFdKNUU1NFlGbEhCZ2RXanJueEZ6Z2xBZHM2NE5WTjlRR2pRcW1GdVh4THJuVU5KSmxjelFYV20wVS1feXQzNjVlYnRSODVmRG15RzNDOA?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iJ0NnNUVWRzkxTUhKdlIwVjJaVXRIVFJDakFSaTJBaWdCTWdPVkVnQQ=-w200-h112-p-df,The Guardian,,By Steve Rose
A Gay Couple Awaits the Justices’ Decision (Published 2015),,"Jan 23, 2015",,https://news.google.com/read/CBMilwFBVV95cUxQZkk0Y256OTFiUHFLTnF4OFFiaFBuaEswWUFMQUM4SEZKU3dNN1dWdWRFT21Say1wU0FzbG0ybkZIMVBlb0RLQWk5TFByVURiM1VOeXdJdk9kZGkwN21fZ1A2TDFqaHlBd2hxYUgtYmU2d3hZLTJkZ1VSRFhEdm1Lb0YwQWlVY2o0c0VMeTBTNGtIV0FpMlJR?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNWpjWEIyUVRobFoxVk1Oa3gwVFJDaUFSaTNBaWdCTWdhaFZKVE1xUWM=-w200-h112-p-df,The New York Times,,By Ron Lieber
Animal Sex: How Anglerfish Do It,,"Jan 6, 2015",,https://news.google.com/read/CBMibEFVX3lxTE80aWN2Rjd0SDBlekJYWHVGY3JRMHdIWkhWN3pFSFR6QVlHVTExLXBPQVN6ek4zeElYaElFX2F0NlhYazBlckJaWFhZdUdZMm5IRVN3MEd5N1FrRnNjR2Q0X0NrWnN5T3BxZnRybA?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNUNXRXg1YldkU1MxRkllWGt6VFJDMUFSaVhBaWdCTWdhdGtvZ3dPUVU=-w200-h112-p-df,Livescience.com,,By Joseph Castro
James Spader on The Blacklist : ‘I Don’t Know What Our Competition Is’,,"Jan 27, 2015",,https://news.google.com/read/CBMib0FVX3lxTFBTTmhlZnRxR3hHZk5PczAxTWNpZUVWYnEyazY0akh1TVd4T2dBTG9JLUdsemRXUGhSY3lSeTIwekVGd2xabTlIWkdKMGFhdGstRmlBUDlnajFzU2FPa1UzaWpaWVRWbUZlQm5BclBpVQ?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNHlRa04xTFV0Q1NWbEpRek5KVFJDM0FSaVRBaWdCTWdhZE41WktuZ2s=-w200-h112-p-df,TIME,,By Daniel D'Addario
What People Look Like While Watching Virtual Reality Porn [VIDEO],,"Jan 28, 2015",,https://news.google.com/read/CBMiigFBVV95cUxORmR2MnR1MDlaMkJpX09MdS1HTXBsVlJaR3lEUm9lbWJJOGNraGFZLUgwVDRMWWEyMnczVkVoSW5IcXNVTTliWVhiWldheXNqM0t4eVpDVkJVUGk1VmFjeFJWZUFsdUNZb2VyUmdPajFEMHliZEdfVERnZk5feTJRVWpibGFUOUZUTVE?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNHplbXQ0U1cxNlkxVnJWRkpuVFJDM0FSaVVBaWdCTWdhbHBKU3N0UVk=-w200-h112-p-df,Q105.7,,
