ID,title,desc,date,datetime,link,img,media,site,reporter
Alone Together: Why We Expect More from Technology and Less from Each Other by Sherry Turkle – review,,"Jan 30, 2011",,https://news.google.com/read/CBMiiAFBVV95cUxPdnczTHlXaUpaMXBnMUx6eG9YOHFpTXNmWU5PVFU2R3FiRHJuSWxIM283SmdubnpIdVdWem5BZFhSRGFNOWd3UXlYbDkyQnN2TGVkZEFHZ0Jsbjk0QmJvcHV3a280MHhxX0x2c3RZLU94XzFfTmozcFBXQy1qY3pDek15bTR5RzJz0gGIAUFVX3lxTE02Vy10Smw2bGoyNlpSUVozcjZ4cHZSdl9lSW42VzgyM1VNdFdVc1gzWlJWUVBTTUVmQjRHWWNNU3laMUJOSVlkS3VfZDZLcm9YTHpmRzVHNTFMRHZ4WW9nSS1XQWRIUXNnNmFTTGk5eEJZcnMzS2tDNWlQWHR1UTAyNEVBQXRSci0?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iL0NnNVRVVXRwY1hoMFdVVjBibXBMVFJDakFSaTJBaWdCTWdrSkFZVE1pU3N1eHdJ=-w200-h112-p-df,The Guardian,,By Rafael Behr
The science of the smooch,,"Jan 19, 2011",,https://news.google.com/read/CBMiV0FVX3lxTFBVX1VEanB1MS1aTHhaQlNDSlBiZldMeDFhVm1DTVprSS1aYmlKOW1rNUIxUHNWQ2ZpVVdMVjlmTmU1NHJ1Qmh0MXNwOEtUTE9VSzdjbktuSQ?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNTROVlZTWWkxWmJHeE9aV3hEVFJDM0FSaVVBaWdCTWdZcEE0cXZvUVk=-w200-h112-p-df,Salon,,By Tracy Clark-Flory
Just say no ... to robot marriage?,,"Feb 11, 2011",,https://news.google.com/read/CBMijAFBVV95cUxOVDNGendRU2Z6S3psRWl0Y3p2LXR4NUItenlSeHVBb3ppV2FlaWpiUkZpRlhGSUp6eG5TbldVQVQybWJNQWVRVHJ1dm16eFRIcjhvWnE4bGo4dW4zSm5qSk9sWUFNTGRuVTdPQlNWamZPLTMxVW1RTXZsSVlERVpMYmhHWVltN3BqQjlhVQ?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNVNkVVZUTW05UFpEWjRRVGwwVFJDN0FSaU9BaWdCTWdZZGNZekxOQVk=-w200-h112-p-df,NBC News,,By Alan Boyle
Transformers 3: more robot flaws than robot wars,,"Feb 9, 2011",,https://news.google.com/read/CBMikwFBVV95cUxNRzZQcnNoaUgzS0JYTmU3RWhKOVc5ZGE0d1JmZFNSM2JNTlhqQ2luYm9JTjVJSzlpS2EwV0NYdjBJcFlacEpuek1mYVBZRFFmd3psNnZmc0dfdkk1WHNBRG9zajVFUzJ5T015VEZfMko5NWNHTlZySXhydTNoWS1BeVI3YzREazFKNVQwbE9MS0hJSUHSAZMBQVVfeXFMUHFvSk53Vm9TSndLNzJKRVF0Y053OUxhcmdrcl8yM0FOVU5fbW1aZGJraG05MW1vcEwyemRqM3lUQ0ZrUVEwNG45SzljZUZDZUdaclprYWtKNDV5bzI1TnBsbXhHUWRIWEM4RlJHZF9IVk0zUVctcllBNVdmQlJnSlRuMy1CbV9kQzFOck1TTHlIOGpn?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iL0NnNHlPSEpDWVRVMVVtNHRZMkZHVFJDakFSaTJBaWdCTWdrQkVKQUVOMlpFeGdJ=-w200-h112-p-df,The Guardian,,By Stuart Heritage
Film commission aims to clear up royal mess,,"Feb 28, 2011",,https://news.google.com/read/CBMikwFBVV95cUxObHFham5zdnhVWU92cWY2V3MxT0N4SWp4d09MRThSWGJpQzc5VWZxNDhOSE1CcjBkZ2hEX2F4UWt6SjdXa1d6ZTlkV0Q5cGpqZVpKdkhub2hJbVlxSDNaSnVuS2F3ZTlnLUJ0SUxSU3dkc2d6TUNpVGp1Ui1mUUQ4bDlZMW5UakhCTWNzVUVVaUdqbW8?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNUlNa1JWWmxOdVdIZE9WV3BJVFJDb0FSaXJBaWdCTWdhWlk1SlJwUWM=-w200-h112-p-df,SWI swissinfo.ch in English,,By Thomas Stephens
Katy Perry Makes Out With an Alien in New ‘E.T.’ Video,,"Mar 31, 2011",,https://news.google.com/read/CBMiaEFVX3lxTE1FUVp3SUVOYnhPOXhiemdvTFlvVnRjbGlPT0xRb3Z2d1FTd3YxYVljaHNHMUNtVi1CbWcxdE9OY0NaZlhINldDV2lhd3JCbm1LRTFsSnhKYUNONUlfaEhuTUQycGxkdFJL?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNDVRbEJvU1hac1dFTndNMjR0VFJDakFSaTJBaWdCTWdZUkFJNnRsQWc=-w200-h112-p-df,Vulture,,By Willa Paskin
Food For Thought-Japan Experiments with Robot Nurses,,"Mar 17, 2011",,https://news.google.com/read/CBMiVEFVX3lxTE1adkk1SklqMHBmMEZrU0lFbldJTkp6WTlxTEtmZ0lEY2RRVGVyV01UdEZJcUF5dEpfamVNM1ZBc3lZbG14bDJpd1dST2ZVQkEzZi1lTtIBWkFVX3lxTE9wLVVlUWtKb0lCekNHZEI2b01IOFpRRURUZjl2NnNua09GLVppMElsX21aVDJmRzVkRnRORHZxSnd6c2lVMmFZY3YtRnVoR0hBRGJHbFhuc3dqQQ?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNWxhakJKZFZadlFXbHJTMnA0VFJDREFoakNBU2dCTWdhbEpKQ3RGUWc=-w200-h112-p-df,theAsianparent,,
What Google predicts for the future of life on earth,,"Apr 18, 2011",,https://news.google.com/read/CBMilAFBVV95cUxOQWY1Y2xaUl9UaDdZZ3BOOUZ0Y2szRWRXTHBHeC1JT0M0c1hIbThpVHhidGN4TDNDUDRVV0M5bTZ0YVNLLTdoV2x4bXQwS1lSYVAzZy1Jd0U3WEJNZkNTRy0td0NTZmltT3hBdVJaU2NxbV8zOFJ1U3MwZlF4OTZJZHhOZHhaODVYU0lpLW5DYXhIVkpT?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNUdWVXhuYVhKRlgyTXhOREp4VFJDLUFSaUpBaWdCTWdhdEFwSlJrUWM=-w200-h112-p-df,Grist,,By Jess Zimmerman
50 Weirdest Movie High Concepts,,"Apr 4, 2011",,https://news.google.com/read/CBMia0FVX3lxTE9zS29fRm1nOFExZk9hVU5JdHFBS19KT0w1VW82aV9ySjJYOUxmcDlhMW1mNzBuemV6Nzg4RHNTelZzZUNOaHU3RS1tOWo0bm9wRlJIOW4yVXFZbjlSOHFaYm5zWk5xXzNoRklr?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNVNOVVZoY2xSWVRXOU5ja3BQVFJDT0FSakFBaWdCTWdZbFE0YU9vUVk=-w200-h112-p-df,Gamesradar,,By George Wales
5 Comics from When Sexual Assault was Considered Hilarious,,"Apr 28, 2011",,https://news.google.com/read/CBMikAFBVV95cUxOMXZDNkRqM0FzOHR4UFc3bmJCRjgySVhrRjZzS3UzanRQOU10WGFiNEtzakNQbnhoaFdxbGVod2VUTk5TQ29ybGQyQVlOMjRva2VjTG5uRUhMUkZvXzl0b3NKUHZIMmtaMUQzdzRDRnVvVExQdHRxUkJ3djJ1U1lnQTF1UnNBa0EwcG1abWd4WEU?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNWlhMFZYVG1wQk9YWmhTREEyVFJDeUFSaWJBaWdCTWdZVlFKSm9KZ2c=-w200-h112-p-df,Cracked.com,,By Seanbaby
